Wall time,Step,Value
1715851255.2129943,500410,111.63905334472656
1715852315.1870928,501195,75.60969543457031
1715852653.0614672,501423,68.75646209716797
1715853400.6036348,501983,42.485069274902344
1715854693.0372667,502904,64.67591094970703
1715855051.6753907,503150,80.2205581665039
1715855346.6418335,503381,72.63614654541016
1715855717.3669512,503469,79.93052673339844
1715855777.543361,503503,81.85114288330078
1715855993.2651036,503663,88.0164566040039
1715856808.4507132,504235,87.69670867919922
1715856866.4556592,504277,84.529052734375
1715856930.4743435,504325,83.08849334716797
1715857027.6053185,504387,87.7127456665039
1715857847.7963786,504933,86.40743255615234
1715858531.3310063,505421,82.50818634033203
1715858628.6340957,505489,85.056884765625
1715858688.6275802,505528,87.69529724121094
1715858792.4894464,505595,93.2669677734375
1715859293.9122674,505931,103.94083404541016
1715860266.2751367,506644,87.65605163574219
1715861185.3078425,507336,71.56764221191406
1715862045.7302277,507958,65.50311279296875
1715862329.1418526,508160,63.28591537475586
1715862397.144377,508206,69.0033950805664
1715863262.4542317,508835,65.463623046875
1715883080.8746147,509302,69.19316101074219
1715883964.2172766,509955,68.48487091064453
1715884127.8362436,510062,78.95381164550781
1715884190.1199212,510089,80.28244018554688
1715885027.2019658,510681,97.199462890625
1715885145.9137623,510760,106.4596939086914
1715885190.5082998,510788,111.76514434814453
1715886059.6615534,511402,117.78425598144531
1715886465.1233225,511675,108.09500122070312
1715886654.135669,511806,107.0292739868164
1715886696.797604,511826,105.35918426513672
1715886990.9820344,512013,114.42266845703125
1715887294.3194005,512204,115.24983215332031
1715887341.796036,512232,115.24772644042969
1715887505.8929381,512336,121.42874145507812
1715887872.411391,512565,133.77500915527344
1715887920.9716158,512593,136.90109252929688
1715888218.8329966,512772,141.330078125
1715888404.1073244,512893,139.4130401611328
1715888564.1707363,513013,133.0536346435547
1715888989.5441802,513315,124.5502700805664
1715889077.0998044,513382,123.22244262695312
1715889830.1103091,513907,105.95223236083984
1715890345.3155897,514210,106.13231658935547
1715890409.3379118,514235,106.10460662841797
1715890538.1108599,514326,102.8362045288086
1715891006.2029927,514650,102.15841674804688
1715891870.5983918,515215,113.12711334228516
1715892548.1577795,515685,102.55888366699219
1715893100.9160054,516079,98.93224334716797
1715893360.6259506,516243,101.25077819824219
1715894567.7234714,517057,96.7996597290039
1715895257.325802,517556,94.30160522460938
1715895855.2816265,517971,92.51808166503906
1715896019.3209193,518091,89.96137237548828
1715896204.5509398,518226,85.43102264404297
1715896444.6904218,518378,88.76161193847656
1715896654.641202,518504,92.67747497558594
1715896846.1188645,518635,95.87482452392578
1715897399.6661315,519014,96.68132019042969
1715925670.7929351,519218,100.39883422851562
1715926183.4234798,519604,99.16234588623047
1715926238.2395408,519636,102.08848571777344
1715926762.8632123,520042,79.92974853515625
1715926892.4117537,520127,77.00505065917969
1715927390.8561337,520499,59.76612854003906
1715927548.758383,520619,56.75657653808594
1715927851.1921954,520859,50.73035430908203
1715928165.1985607,521074,50.43082046508789
1715928722.2227223,521487,43.3984489440918
1715928866.999226,521607,37.1701545715332
1715929478.5010164,522066,44.190406799316406
1715929533.0171142,522093,48.40870666503906
1715929594.8133047,522134,54.292598724365234
1715929956.5887952,522397,53.254512786865234
1715930992.1899242,523179,59.47061538696289
1715931942.2232363,523857,65.11226654052734
1715933613.5193963,525060,73.198486328125
1715934037.0788507,525344,75.04228210449219
1715934728.9072232,525847,78.4469223022461
1715935186.5336692,526173,76.80511474609375
1715935444.1407719,526359,72.57118225097656
1715936297.6425848,527001,68.8562240600586
1715936986.9995716,527502,59.37508773803711
1715937095.7947114,527582,57.391876220703125
1715938989.286345,528913,62.060401916503906
1715940209.9341378,529757,80.73785400390625
1715940283.223075,529789,80.7770004272461
1715940519.2838714,529962,71.74053192138672
1715941350.041033,530590,65.95738220214844
1715942229.269151,531164,74.39862823486328
1715942461.4114876,531335,73.76063537597656
1715942612.2763472,531445,69.05589294433594
1715942994.739681,531743,65.55884552001953
1715943741.0973332,532311,60.15021896362305
1715944941.9968064,533251,46.61863327026367
1715945340.6533372,533534,39.79993438720703
1715945399.9353285,533576,41.573421478271484
1715946129.1763425,534083,61.9861946105957
1715946202.1679797,534128,66.33021545410156
1715947478.6545286,534983,102.15280151367188
1715947616.3417897,535094,98.77680206298828
1715947870.6407065,535277,92.17925262451172
1715948050.0211031,535395,91.92835235595703
1715949851.3448696,536747,60.176368713378906
1715950501.646807,537244,44.844764709472656
1715950690.835907,537382,47.806663513183594
1715951036.4181125,537633,45.555931091308594
1715952200.0809028,538506,36.58176803588867
1715952855.7996047,538992,47.7728271484375
1715953135.8486001,539216,45.764949798583984
1715953582.5816243,539548,45.69655227661133
