Wall time,Step,Value
1714135361.5618412,20,-25.982730865478516
1714135415.1183188,60,-25.540592193603516
1714135475.411601,97,-8.955097198486328
1714135519.2219229,116,-13.792062759399414
1714135588.9761052,131,-7.390589237213135
1714135621.8842125,143,-12.148606300354004
1714135693.6131487,194,-12.78610897064209
1714135787.9106462,255,-11.827383041381836
1714135827.0845912,266,-14.402114868164062
1714135939.6729825,351,-13.768475532531738
1714136009.4732153,401,-14.674142837524414
1714136091.3169153,426,-15.741016387939453
1714136167.752156,479,-15.91844654083252
1714136195.6619046,494,-17.160999298095703
1714136279.1862762,558,-13.426003456115723
1714136399.9600267,653,-12.915998458862305
1714137036.396191,724,-9.774271011352539
1714137141.8747938,776,-9.947225570678711
1714137754.6493108,864,-9.539651870727539
1714137987.7083874,909,-4.950847148895264
1714138068.2216563,978,-5.088097095489502
1714140628.737241,1058,-5.0387864112854
1714140709.0724635,1110,-5.317679405212402
1714141381.4054022,1158,-4.013400554656982
1714141488.097462,1237,-2.5299155712127686
1714141685.2914207,1319,-1.7653114795684814
1714148551.9930582,1365,0.7317653298377991
1714148652.3658407,1446,1.3997448682785034
1714150071.0655725,1481,4.0099921226501465
1714150184.1981666,1556,4.5959248542785645
1714150229.6925037,1580,4.930460453033447
1714150283.3083916,1613,4.963967323303223
1714150352.6312299,1675,4.747166633605957
1714151111.613061,1738,5.802453994750977
1714151327.0690951,1768,5.460048675537109
1714151422.123169,1849,6.205816268920898
1714152813.979119,1926,7.10646390914917
1714152944.6037605,2040,7.851362705230713
