,parameter,value
0,center_x1,0.5632369302902199
1,sigma_x1,0.07996326126129678
2,center_y1,0.5175634005554315
3,sigma_y1,0.12763521007851203
4,center_x2,0.5032433327999287
5,sigma_x2,0.08513133239821788
6,center_y2,0.5047745701496719
7,sigma_y2,0.11923401737129498
