,Step,goal_power,goal,mean,std,y_upper,y_lower,max_possible_return,mean_norm,y_upper_norm,y_lower_norm
0,24,0.88,0.88,15.351744651794434,,,,186.1841700871871,0.08245461815902745,,
1,25,0.86,0.86,161.26657104492188,,,,189.76364995603066,0.8498285687606044,,
2,25,0.9,0.9,17.40083885192871,,,,182.8450012243582,0.09516715652826176,,
3,28,0.87,0.87,30.728893280029297,,,,187.9423437227816,0.16350170308270168,,
4,30,0.85,0.85,83.03844451904297,,,,191.65140287092927,0.43327856344973664,,
5,49,0.85,0.85,-14.234695434570312,,,,191.65140287092927,-0.07427389114473061,,
6,61,0.85,0.85,68.11144210585398,21.00441941201625,110.12028092988649,26.10260328182148,191.65140287092927,0.35539234821946347,0.5745863546015824,0.13619834183734464
7,67,0.88,0.88,5.844563834032221,13.377958132150589,32.6004800983334,-20.911352430268956,186.1841700871871,0.031391303735947604,0.17509802301166155,-0.11231541553976634
8,74,0.86,0.86,116.94824249420932,62.3622033916338,241.67264927747692,-7.776164289058272,189.76364995603066,0.6162836903764599,1.273545535899388,-0.040978155146468014
9,82,0.85,0.85,-2.3691289508762083,16.696542821247437,31.023956691618665,-35.762214593371084,191.65140287092927,-0.01236165723488983,0.16187701330061355,-0.18660032777039323
10,87,0.9,0.9,18.057650168337418,0.9242271142273883,19.906104396792195,16.20919593988264,182.8450012243582,0.09875933193371773,0.10886873725558731,0.08864992661184815
11,101,0.87,0.87,21.25487409045349,13.33129499594066,47.91746408233481,-5.407715901427828,187.9423437227816,0.11309252438505726,0.2549583193078296,-0.028773270537715057
12,113,0.86,0.86,101.3919760406485,51.47731062973022,204.34659730010895,-1.5626452188119373,189.76364995603066,0.5343066286095446,1.0768479492645575,-0.008234692045468199
13,115,0.88,0.88,5.698620977909379,9.43918184569614,24.57698466930166,-13.179742713482902,186.1841700871871,0.030607440875563184,0.13200362124122927,-0.07078873949010292
14,128,0.85,0.85,6.8709312286895825,19.77377629214653,46.41848381298264,-32.67662135560347,191.65140287092927,0.035851191933705395,0.24220268214913052,-0.1705002982817197
15,130,0.87,0.87,14.27075997999889,15.250111095123735,44.770982170246356,-16.22946221024858,187.9423437227816,0.07593158464091797,0.23821657899661172,-0.0863534097147758
16,148,0.86,0.86,87.93778478442046,49.6731595131816,187.28410381078368,-11.408534241942746,189.76364995603066,0.46340690013496344,0.986933503092813,-0.0601197028228861
17,151,0.9,0.9,19.520352178284437,2.597633461526995,24.715619101338426,14.325085255230448,182.8450012243582,0.10675901472598737,0.1351725173553493,0.07834551209662544
18,160,0.88,0.88,3.940054720990711,8.439476154551526,20.819007030093765,-12.938897588112342,186.1841700871871,0.021162135960031647,0.11181942600353484,-0.06949515408347154
19,162,0.85,0.85,11.809845451214342,18.84126179761077,49.49236904643588,-25.872678144007196,191.65140287092927,0.061621492325667306,0.25824162153285835,-0.13499863688152372
20,174,0.9,0.9,17.612891050961828,4.329078253914329,26.271047558790485,8.95473454313317,182.8450012243582,0.09632689399777519,0.14367933158071325,0.048974456414837116
21,179,0.85,0.85,58.74557123036181,21.879612186118308,102.50479560259842,14.986346858125195,191.65140287092927,0.3065230431416407,0.5348502232025504,0.07819586308073097
22,179,0.87,0.87,12.960210542489747,12.688477654297582,38.33716585108491,-12.416744766105417,187.9423437227816,0.06895843845390316,0.20398365313371283,-0.06606677622590651
23,195,0.85,0.85,15.029081849723553,17.76062802282654,50.550337895376636,-20.49217419592953,191.65140287092927,0.07841884601202283,0.2637618986249768,-0.10692420660093113
24,201,0.85,0.85,50.668502901536364,23.94412280933219,98.55674852020074,2.780257282871986,191.65140287092927,0.26437846080187516,0.5142500761477617,0.014506845455988626
25,212,0.87,0.87,11.055307887375413,11.74028950773597,34.53588690284735,-12.425271128096526,187.9423437227816,0.058822869122469784,0.18375788137338767,-0.0661121431284481
26,216,0.85,0.85,17.17344186458693,16.668893359264427,50.51122858311578,-16.164344853941923,191.65140287092927,0.08960770235609838,0.26355783378811676,-0.08434242907592
27,226,0.85,0.85,45.479173278411146,23.646194099161676,92.77156147673449,-1.8132149199122054,191.65140287092927,0.2373015412208583,0.484064087645698,-0.009461005203981441
28,226,0.86,0.86,80.90406845901954,45.634330843633336,172.1727301462862,-10.36459322824713,189.76364995603066,0.42634123277964714,0.9073008987030953,-0.054618433143801076
29,229,0.88,0.88,2.485793636976277,7.96632957487223,18.418452786720735,-13.446865512768182,186.1841700871871,0.013351262010149516,0.09892598698426222,-0.07222346296396319
30,233,0.9,0.9,15.763332527901508,5.537747230412454,26.838826988726417,4.6878380670766,182.8450012243582,0.08621144916376063,0.14678458152538768,0.025638316802133587
31,248,0.85,0.85,40.71591682277808,24.024248182750757,88.76441318827959,-7.332579542723437,191.65140287092927,0.21244778912575385,0.46315556191393714,-0.03825998366242944
32,254,0.9,0.9,16.190102846529033,5.046773819920207,26.283650486369446,6.096555206688619,182.8450012243582,0.08854550432397723,0.14374825841762195,0.033342750230332514
33,260,0.88,0.88,3.7595831774549664,7.743457106717084,19.246497390889136,-11.727331035979201,186.1841700871871,0.020192818625205423,0.10337343600090332,-0.06298779875049247
34,268,0.85,0.85,17.841784210234525,15.277152557036718,48.396089324307965,-12.71252090383891,191.65140287092927,0.09309498361590582,0.2525214457047366,-0.06633147847292495
35,271,0.87,0.87,11.83381603666781,10.641411912052384,33.11663986077258,-9.449007787436956,187.9423437227816,0.06296514027792963,0.1762063790670836,-0.05027609851122436
