,Wall time,Step,Value,goal_power,timestamp,smoothed_value,std1,smoothed_value_squared_plus_std1_squared
0,1714135361.5618412,20,-25.98273086547852,0.85,1714135314,-25.98273086547852,,
1,1714135415.1183188,60,-25.54059219360352,0.85,1714135314,-25.760550628355404,0.31263925310762636,663.7037119786456
2,1714135475.411601,97,-8.955097198486328,0.85,1714135314,-20.102339312282183,9.729439284968484,498.7660346260137
3,1714135519.2219229,116,-13.792062759399414,0.85,1714135314,-18.50090845391409,8.534944795159703,415.1288962765335
4,1714135588.9761052,131,-7.390589237213135,0.85,1714135314,-16.233956703497807,8.911741085905845,342.9604794332637
5,1714135621.8842125,143,-12.148606300354004,0.85,1714135314,-15.53584309566614,8.127251240656523,307.41463342191025
6,1714135693.6131487,194,-12.78610897064209,0.85,1714135314,-15.131081454838222,7.4747901765471205,284.8221141763545
7,1714135787.9106462,255,-11.827383041381836,0.85,1714135314,-14.703447599921423,7.003838343627438,265.245122867301
8,1714135827.0845912,266,-14.402114868164062,0.85,1714135314,-14.668604498494886,6.535643373491352,257.88259223872586
9,1714135939.6729825,351,-13.768475532531738,0.85,1714135314,-14.574466399801985,6.153036179045213,250.2749250595963
10,1714136009.473215,401,-14.674142837524414,0.85,1714135314,-14.58399007409353,5.822482749450231,246.5940718489041
11,1714136091.3169153,426,-15.741016387939451,0.85,1714135314,-14.68582742016905,5.547919808910314,246.4529412210886
12,1714136167.752156,479,-15.91844654083252,0.85,1714135314,-14.786466660538693,5.309778630711396,246.83334541038167
13,1714136195.6619046,494,-17.160999298095703,0.85,1714135314,-14.967377661372334,5.130229497829341,250.34164875854583
14,1714136279.1862762,558,-13.426003456115724,0.85,1714135314,-14.857233593728596,4.948026523991299,245.22035654073895
15,1714136399.9600267,653,-12.915998458862305,0.85,1714135314,-14.726547852093052,4.794358896312902,239.85708886664116
16,1714137036.396191,724,-9.77427101135254,0.85,1714135314,-14.411230296143605,4.795016045790569,230.67573752787635
17,1714137141.8747938,776,-9.947225570678713,0.85,1714135314,-14.14147948395637,4.7672200110672724,222.7078286290792
18,1714137754.6493108,864,-9.53965187072754,0.85,1714135314,-13.876750082695903,4.750286806981425,215.12941760618253
19,1714137987.7083874,909,-4.950847148895264,0.85,1714135314,-13.386566502057473,5.0616765162450195,204.8207318691136
20,1714138068.2216563,978,-5.088097095489502,0.85,1714135314,-12.950429621212628,5.2739678839733335,195.5283646151636
21,1714140628.737241,1058,-5.0387864112854,0.85,1714135314,-12.551595789345969,5.4307044918697756,187.035108137142
22,1714140709.0724635,1110,-5.317679405212402,0.85,1714135314,-12.201091088156108,5.525273424893628,179.39527016131817
23,1714141381.4054022,1158,-4.013400554656982,0.85,1714135314,-11.819063302267299,5.671131159378768,171.85198596987837
24,1714141488.097462,1237,-2.529915571212769,0.85,1714135314,-11.400969658974981,5.875833219866947,164.50752519256008
25,1714141685.2914207,1319,-1.7653114795684814,0.85,1714135314,-10.981949394797853,6.081843133947817,157.59202841584914
26,1714148551.9930582,1365,0.7317653298377991,0.85,1714135314,-10.489066767932215,6.4128717302632054,151.14544549094896
27,1714148652.365841,1446,1.3997448682785034,0.85,1714135314,-10.004364505749828,6.7177537391840865,145.2155244642288
28,1714150071.0655725,1481,4.0099921226501465,0.85,1714135314,-9.450060320404857,7.1426697270797055,140.32137088943122
29,1714150184.1981666,1556,4.5959248542785645,0.85,1714135314,-8.9104519714603,7.519393682402025,135.93743568664823
30,1714150229.6925037,1580,4.930460453033447,0.85,1714135314,-8.393414741420282,7.841530819320602,131.9390166118461
31,1714150283.3083916,1613,4.963967323303223,0.85,1714135314,-7.907726486682376,8.102327020710751,128.17984133871755
32,1714150352.63123,1675,4.747166633605957,0.85,1714135314,-7.459399813706517,8.30095435050164,124.5484887098369
33,1714151111.613061,1738,5.802453994750977,0.85,1714135314,-7.001220450244297,8.515317513784446,121.52772015348307
34,1714151327.0690951,1768,5.460048675537109,0.85,1714135314,-6.581015686509167,8.672692196553372,118.52535740223747
35,1714151422.123169,1849,6.205816268920898,0.85,1714135314,-6.15982370070268,8.833914071987536,115.98146585499786
36,1714152813.979119,1926,7.10646390914917,0.85,1714135314,-5.732638108704743,9.005905515504061,113.96947383956035
37,1714152944.6037605,2040,7.851362705230713,0.85,1714135314,-5.30472198201266,9.180326306351416,112.41846639753616
38,1714154712.400931,30,83.03844451904297,0.85,1714153135,83.03844451904297,,
39,1714154773.598029,61,53.33370971679688,0.85,1714153135,68.11144210585398,21.004419412016244,5080.354180574984
40,1714154962.669153,179,40.29386901855469,0.85,1714153135,58.74557123036181,21.87961218611831,3929.75956859645
41,1714155019.2972157,201,26.918699264526367,0.85,1714153135,50.668502901536364,23.944122809332193,3140.618203391381
42,1714155069.1866975,226,25.23562431335449,0.85,1714153135,45.479173278411146,23.64619409916168,2627.497697462975
43,1714155117.743258,248,17.60466766357422,0.85,1714153135,40.71591682277808,24.024248182750757,2234.9503834657858
44,1714155208.550863,296,13.58029556274414,0.85,1714153135,36.72154569935166,24.215391022919988,1934.8570809424864
45,1714155280.2786012,348,19.69460868835449,0.85,1714153135,34.51756282918996,23.182073737590596,1728.8706864421642
46,1714155344.3655422,383,20.268943786621094,0.85,1714153135,32.86999512025591,22.163123838543232,1571.6406374882504
47,1714155396.1173842,422,21.08764266967773,0.85,1714153135,31.637762518297322,21.186130903773307,1449.8001598359972
48,1714155491.7362845,493,18.27229881286621,0.85,1714153135,30.360747348067928,20.46686208976882,1340.66742333483
