,Wall time,Step,Value,goal,timestamp,goal_power_alg,goal_power_timestamp,smoothed_value,std1,smoothed_value_squared_plus_std1_squared
4323,1750462653.0516672,90633,129.56544494628906,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,105.4486716207306,18.668057273078016,11467.918708927595
4324,1750463089.7757246,90851,126.1087646484375,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,105.66051787602288,18.68895082596872,11513.421920804827
4325,1750463180.8351378,90901,126.63996887207033,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,105.8755841892737,18.713226623637066,11559.824178087581
4326,1750463433.5300343,91046,129.21942138671875,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,106.11482837902017,18.765712331027043,11612.508761199764
4327,1750463511.1020918,91081,130.6611785888672,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,106.36633422274382,18.833096908726176,11668.482595157913
4328,1750463678.112923,91162,131.26495361328125,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,106.6213866891885,18.90423434657902,11725.49017575584
4329,1750464081.0849342,91386,119.61799621582033,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,106.75448683588499,18.85286470520831,11751.95096718603
4330,1750464228.1084938,91466,119.46565246582033,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,106.88463232682246,18.799907501126295,11777.761149690925
4331,1750464433.326955,91562,113.74430847167967,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,106.95484956087104,18.716224501613613,11789.636904183357
4332,1750464550.6821904,91614,116.68915557861328,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.05446863902156,18.646077649901624,11808.335467309413
4333,1750464631.0212634,91657,116.53571319580078,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.15147525171187,18.575072078212678,11826.471951329017
4334,1750464767.817378,91732,114.76859283447266,0.9,1750325230,0.9_CrossQ,0.9_230_CrossQ,107.22939116351137,18.495773804523687,11840.235977925433
