,Step,goal_power_alg,goal,mean,std,y_upper,y_lower,max_possible_return,mean_norm,y_upper_norm,y_lower_norm,agent
0,227,0.9,0.9,121.4586944580078,,,,182.8450012243582,0.6642713426383097,,,pretrained on virtual testbed with noise
1,706,0.9,0.9,105.49125732728584,22.468459315873712,150.42817595903327,60.55433869553841,182.8450012243582,0.5769436223079667,0.8227087147679352,0.33117852984799834,pretrained on virtual testbed with noise
2,887,0.9,0.9,98.82623182666458,19.55574528184232,137.93772239034922,59.71474126297994,182.8450012243582,0.5404918437195928,0.7543970109475077,0.326586676491678,pretrained on virtual testbed with noise
3,984,0.9,0.9,94.45381189743821,18.127996464204912,130.70980482584804,58.19781896902839,182.8450012243582,0.5165785844018758,0.7148667119724089,0.3182904568313427,pretrained on virtual testbed with noise
4,1178,0.9,0.9,89.4688621921259,19.141707325206024,127.75227684253795,51.18544754171385,182.8450012243582,0.48931533043303704,0.6986916567972277,0.2799390040688465,pretrained on virtual testbed with noise
5,1553,0.9,0.9,83.34185644969321,22.58826865237143,128.51839375443606,38.16531914495035,182.8450012243582,0.4558060427773433,0.7028816368719799,0.20873044868270674,pretrained on virtual testbed with noise
6,2611,0.9,0.9,81.17171938995706,21.3277871288027,123.82729364756247,38.51614513235166,182.8450012243582,0.443937317653853,0.6772254796051076,0.21064915570259857,pretrained on virtual testbed with noise
7,2826,0.9,0.9,80.16227848961286,19.893455678269287,119.94918984615143,40.375367133074285,182.8450012243582,0.43841657115498883,0.656015691120639,0.22081745118933865,pretrained on virtual testbed with noise
8,2917,0.9,0.9,80.27235673349179,18.564149514905157,117.4006557633021,43.144057703681476,182.8450012243582,0.43901860152575,0.6420774698633775,0.23595973318812238,pretrained on virtual testbed with noise
9,3019,0.9,0.9,80.89748329442509,17.564061607243787,116.02560650891266,45.76936007993751,182.8450012243582,0.4424374894184862,0.6345571699088702,0.2503178089281022,pretrained on virtual testbed with noise
10,3121,0.9,0.9,81.09816092066461,16.632865281205326,114.36389148307526,47.83243035825396,182.8450012243582,0.44353501806239637,0.6254690624150351,0.26160097370975777,pretrained on virtual testbed with noise
11,3275,0.9,0.9,81.60648011553687,15.91038119887461,113.42724251328609,49.78571771778765,182.8450012243582,0.44631507325377967,0.6203464232205411,0.27228372328701816,pretrained on virtual testbed with noise
12,3744,0.9,0.9,82.08881376771457,15.287082793811962,112.66297935533849,51.514648180090646,182.8450012243582,0.44895301057198866,0.6161665815358904,0.2817394396080869,pretrained on virtual testbed with noise
13,3776,0.9,0.9,82.74331239649995,14.839437114569634,112.42218662563921,53.06443816736068,182.8450012243582,0.4525325376271597,0.6148496588522683,0.2902154164020512,pretrained on virtual testbed with noise
14,3828,0.9,0.9,83.4234515418565,14.48698695578357,112.39742545342364,54.44947763028935,182.8450012243582,0.4562522955685977,0.6147142371997769,0.2977903539374185,pretrained on virtual testbed with noise
15,3880,0.9,0.9,84.41425863269316,14.470144630384024,113.35454789346122,55.473969371925115,182.8450012243582,0.46167113165491164,0.6199488481195644,0.3033934151902589,pretrained on virtual testbed with noise
16,4630,0.9,0.9,85.02427299084493,14.181122149948466,113.38651729074186,56.662028690948006,182.8450012243582,0.4650073692007402,0.6201236923705232,0.30989104603095713,pretrained on virtual testbed with noise
17,4886,0.9,0.9,84.91653351965653,13.729195339106203,112.37492419786894,57.458142841444115,182.8450012243582,0.46441812984244785,0.614591175287206,0.31424508439768967,pretrained on virtual testbed with noise
18,5039,0.9,0.9,85.13906759423504,13.340060661334796,111.81918891690464,58.45894627156545,182.8450012243582,0.46563519387530844,0.6115517961560129,0.319718591594604,pretrained on virtual testbed with noise
19,5068,0.9,0.9,85.34768905253429,12.981079712414774,111.30984847736384,59.38552962770474,182.8450012243582,0.46677616823557144,0.6087661556619869,0.3247861808091559,pretrained on virtual testbed with noise
20,5109,0.9,0.9,85.67910696775813,12.70172884816078,111.08256466407968,60.27564927143657,182.8450012243582,0.4685887303127658,0.6075231147707281,0.3296543458548036,pretrained on virtual testbed with noise
21,5194,0.9,0.9,85.97949535400947,12.435264451703464,110.85002425741641,61.108966450602544,182.8450012243582,0.47023158838512163,0.6062513249755127,0.3342118517947306,pretrained on virtual testbed with noise
22,5407,0.9,0.9,86.6629007833281,12.507252350534458,111.67740548439701,61.64839608225918,182.8450012243582,0.4739692100031174,0.6107763665213046,0.33716205348493017,pretrained on virtual testbed with noise
23,5929,0.9,0.9,87.32523707521024,12.578030833196024,112.48129874160229,62.16917540881819,182.8450012243582,0.4775916021245702,0.6151729497028097,0.3400102545463307,pretrained on virtual testbed with noise
24,5983,0.9,0.9,88.19175229484959,12.93924106807188,114.07023443099335,62.31327015870583,182.8450012243582,0.482330671904094,0.6238630187708799,0.3407983250373081,pretrained on virtual testbed with noise
25,6223,0.9,0.9,89.92211131327433,15.11279248840973,120.14769629009379,59.696526336454866,182.8450012243582,0.4917942011602289,0.6571013453229039,0.326487056997554,pretrained on virtual testbed with noise
26,6680,0.9,0.9,91.35459610325493,16.3397701784026,124.03413646006013,58.675055746449736,182.8450012243582,0.49962862255752427,0.6783567263502338,0.32090051876481474,pretrained on virtual testbed with noise
27,6827,0.9,0.9,92.63071357150505,17.190043021222376,127.01079961394981,58.2506275290603,182.8450012243582,0.506607853379833,0.6946364339383958,0.31857927282127024,pretrained on virtual testbed with noise
28,6865,0.9,0.9,93.81891617223204,17.85963798070113,129.5381921336343,58.099640210829776,182.8450012243582,0.5131062678443827,0.7084590295946112,0.31775350609415437,pretrained on virtual testbed with noise
