,Wall time,Step,Value,timestamp,goal_power_alg,goal,smoothed_value,std1,smoothed_value_squared_plus_std1_squared
0,1722504145.5564778,227,121.4586944580078,1722503801,0.9,0.9,121.4586944580078,,
1,1722504764.2265627,706,89.6834945678711,1722503801,0.9,0.9,105.49125732728584,22.4684593158737,11633.23703652071
2,1722505006.997355,887,85.69546508789062,1722503801,0.9,0.9,98.82623182666458,19.555745281842313,10149.05127058595
3,1722505127.1176298,984,81.59715270996094,1722503801,0.9,0.9,94.45381189743821,18.127996464204923,9250.146837762866
4,1722505391.853939,1178,70.02259826660156,1722503801,0.9,0.9,89.4688621921259,19.141707325206013,8371.082261277461
5,1722505905.971939,1553,53.61371612548828,1722503801,0.9,0.9,83.34185644969321,22.588268652371433,7456.094917192976
6,1722507267.4238846,2611,68.59910583496094,1722503801,0.9,0.9,81.17171938995706,21.327787128802694,7043.722532533453
7,1722507582.229555,2826,73.37325286865234,1722503801,0.9,0.9,80.16227848961286,19.89345567826929,6821.740471469513
8,1722507707.525546,2917,81.11426544189453,1722503801,0.9,0.9,80.27235673349179,18.564149514905154,6788.278902760718
9,1722507865.560618,3019,86.24968719482422,1722503801,0.9,0.9,80.89748329442509,17.564061607243787,6852.899063514841
10,1722508004.1593876,3121,82.99781036376953,1722503801,0.9,0.9,81.09816092066461,16.632865281205316,6853.563912176738
11,1722508208.4594982,3275,86.8734359741211,1722503801,0.9,0.9,81.60648011553687,15.910381198874605,6912.757826741017
12,1722508851.2096536,3744,87.51405334472656,1722503801,0.9,0.9,82.08881376771457,15.287082793811958,6972.268246135387
13,1722508907.059538,3776,90.67938232421876,1722503801,0.9,0.9,82.74331239649995,14.839437114569641,7066.664640222049
14,1722508987.8185918,3828,92.26129150390624,1722503801,0.9,0.9,83.4234515418565,14.48698695578356,7169.345058213522
15,1722509062.6981406,3880,98.14112091064452,1722503801,0.9,0.9,84.41425863269316,14.47014463038402,7335.152146131443
16,1722510056.763941,4630,93.99494934082033,1722503801,0.9,0.9,85.02427299084493,14.18112214994845,7430.231223053483
17,1722510410.0242758,4886,83.2413330078125,1722503801,0.9,0.9,84.91653351965653,13.729195339106203,7399.308469654286
18,1722510634.966571,5039,88.78487396240234,1722503801,0.9,0.9,85.13906759423504,13.34006066133481,7426.618049263816
19,1722510693.5283182,5068,88.93791961669922,1722503801,0.9,0.9,85.34768905253429,12.981079712414772,7452.736457108148
20,1722510751.786462,5109,91.65364837646484,1722503801,0.9,0.9,85.67910696775813,12.701728848160784,7502.243286524739
21,1722510872.381831,5194,91.6378936767578,1722503801,0.9,0.9,85.97949535400947,12.435264451703452,7547.1094233139365
22,1722511212.2308557,5407,100.0840072631836,1722503801,0.9,0.9,86.6629007833281,12.507252350534452,7666.889733540919
23,1722511928.669011,5929,100.85821533203124,1722503801,0.9,0.9,87.32523707521024,12.57803083319602,7783.903889882503
24,1722512003.345803,5983,106.57735443115234,1722503801,0.9,0.9,88.19175229484959,12.939241068071867,7945.209132253786
25,1722512361.055194,6223,127.9825439453125,1722503801,0.9,0.9,89.92211131327433,15.112792488409731,8314.382599834633
26,1722513026.283312,6680,123.96615600585938,1722503801,0.9,0.9,91.35459610325493,16.3397701784026,8612.650318671856
27,1722513240.5236056,6827,122.6552963256836,1722503801,0.9,0.9,92.63071357150505,17.1900430212224,8875.946675837688
28,1722513300.6447332,6865,122.67179107666016,1722503801,0.9,0.9,93.81891617223204,17.85963798070114,9120.955700534005
29,1722514012.8105538,7387,120.97550964355467,1722503801,0.9,0.9,94.86219824776997,18.290462987348757,9333.377692690787
30,1722514395.4306312,7659,115.6151123046875,1722503801,0.9,0.9,95.63743826592503,18.376532081141864,9484.216529397856
31,1722515109.5777738,8160,109.3409423828125,1722503801,0.9,0.9,96.13571187718168,18.217463429160926,9573.951071925307
32,1722515374.845559,8340,104.76994323730467,1722503801,0.9,0.9,96.44159800222386,17.95651707773786,9623.41833078564
33,1722515427.498282,8379,106.31568145751952,1722503801,0.9,0.9,96.7827344178157,17.73034319070399,9681.262751049591
34,1722516010.9982655,8738,118.74715423583984,1722503801,0.9,0.9,97.52339363535212,17.879904501353415,9830.503291133356
35,1722516298.893728,8956,114.71715545654295,1722503801,0.9,0.9,98.08974773386484,17.84936406098391,9940.198407874786
36,1722516342.702634,8986,115.05500030517578,1722503801,0.9,0.9,98.63604310120543,17.813673812348405,10046.395973355602
37,1722516378.088657,9008,111.11547088623048,1722503801,0.9,0.9,99.02916354298449,17.66324342895274,10118.76540045361
38,1722516993.354181,9446,112.45777893066406,1722503801,0.9,0.9,99.44328066783838,17.541243711653767,10196.66130093411
39,1722517354.2506676,9705,107.56844329833984,1722503801,0.9,0.9,99.6887329167279,17.326014184350413,10238.03423805902
40,1722517544.4140506,9827,104.15226745605467,1722503801,0.9,0.9,99.82090043758856,17.079499945668577,10255.921482565062
41,1722517695.1008077,9947,99.8548812866211,1722503801,0.9,0.9,99.82188727536854,16.824734498251114,10247.480870153026
42,1722518125.0159168,10269,84.49378967285156,1722503801,0.9,0.9,99.38506161516925,16.778356124964564,10158.903706507124
43,1722518649.2294466,10644,83.04827117919922,1722503801,0.9,0.9,98.9279457565889,16.760699132589316,10067.659487031777
44,1722518788.2412074,10754,82.30268859863281,1722503801,0.9,0.9,98.47097506077783,16.75171393029331,9977.152849022712
45,1722519040.3272088,10933,90.99899291992188,1722503801,0.9,0.9,98.26912581348138,16.56524444575578,9931.228411693475
46,1722519584.5949962,11338,85.10220336914062,1722503801,0.9,0.9,97.91938316774474,16.479576815984032,9859.78205198553
