,Wall time,Step,Value,timestamp,goal_power_alg,smoothed_value,std1,smoothed_value_squared_plus_std1_squared
0,1715851255.2129943,410,111.63905334472656,1715850724,0.9,111.63905334472656,,
1,1715852315.1870928,1195,75.60969543457031,1715850724,0.9,93.53384836474855,25.476603300068657,9397.638105628845
2,1715852653.0614672,1423,68.75646209716797,1715850724,0.9,85.19157495052661,22.99052180049768,7786.168535210353
3,1715853400.6036348,1983,42.48506927490234,1715850724,0.9,74.35345787770626,28.480628406201774,6339.582892783987
4,1715854693.0372667,2904,64.67591094970703,1715850724,0.9,72.37884927103494,24.986120007233104,5863.004014815049
5,1715855051.6753907,3150,80.2205581665039,1715850724,0.9,73.71885762977175,22.525053795292543,5941.848018719379
6,1715855346.6418335,3381,72.63614654541016,1715850724,0.9,73.5594822519632,20.514577087602344,5831.845302260069
7,1715855717.3669512,3469,79.93052673339844,1715850724,0.9,74.38415629010949,19.082104494904094,5897.129418945874
8,1715855777.543361,3503,81.85114288330078,1715850724,0.9,75.24756389173257,17.983565354141607,5985.604494487057
9,1715855993.2651036,3663,88.0164566040039,1715850724,0.9,76.58297173638587,17.406300796074518,6167.930867379501
10,1715856808.4507132,4235,87.69670867919922,1715850724,0.9,77.64484366142386,16.823650342732623,6311.756958061481
11,1715856866.4556592,4277,84.529052734375,1715850724,0.9,78.25076728945963,16.128943151589315,6383.325388576365
12,1715856930.4743435,4325,83.08849334716797,1715850724,0.9,78.64575148806766,15.464385943811722,6424.301459742058
13,1715857027.6053183,4387,87.7127456665039,1715850724,0.9,79.33654805385473,15.028432714004717,6520.141646940967
14,1715857847.7963786,4933,86.40743255615234,1715850724,0.9,79.8418218402371,14.56713080624065,6586.917814694288
15,1715858531.3310063,5421,82.50818634033203,1715850724,0.9,80.02132396025699,14.053966299622894,6600.926257103336
16,1715858628.6340957,5489,85.056884765625,1715850724,0.9,80.34194430864326,13.631712172430705,6640.651592045131
17,1715858688.6275802,5528,87.69529724121094,1715850724,0.9,80.78629261198267,13.313266833302821,6703.6681477636075
18,1715858792.4894464,5595,93.2669677734375,1715850724,0.9,81.50426858598925,13.24570317833982,6818.394450425755
19,1715859293.9122674,5931,103.94083404541016,1715850724,0.9,82.73641687123221,13.887496728309328,7038.1772420691195
20,1715860266.2751367,6644,87.65605163574219,1715850724,0.9,82.99497469147205,13.5475749436271,7071.70261089128
21,1715861185.3078425,7336,71.56764221191406,1715850724,0.9,82.4189114540503,13.432822618540746,6973.317688771764
22,1715862045.7302277,7958,65.50311279296875,1715850724,0.9,81.59929084465334,13.606606521422055,6843.584007379131
23,1715862329.1418526,8160,63.28591537475586,1715850724,0.9,80.74481078653548,13.846997638626338,6711.463812557539
24,1715862397.144377,8206,69.0033950805664,1715850724,0.9,80.21634343817941,13.746524893658083,6623.628701243911
25,1715863262.4542315,8835,65.463623046875,1715850724,0.9,79.57480046513089,13.77965702111221,6522.027816684883
26,1715883080.8746147,9302,69.19316101074219,1715850724,0.9,79.13796809847872,13.643099105028245,6448.952147945459
27,1715883964.2172766,9955,68.48487091064453,1715850724,0.9,78.70364543745978,13.52426928189138,6377.169664754495
28,1715884127.8362436,10062,78.95381164550781,1715850724,0.9,78.71354016040924,13.245803911052095,6371.272725834401
29,1715884190.1199212,10089,80.28244018554688,1715850724,0.9,78.77381301003103,12.984831739191732,6373.919471434456
30,1715885027.2019658,10681,97.199462890625,1715850724,0.9,79.46211640244977,13.219209675080446,6488.975447590216
31,1715885145.9137623,10760,106.4596939086914,1715850724,0.9,80.44377629939824,13.949538084990424,6665.790758092224
32,1715885190.5082998,10788,111.76514434814452,1715850724,0.9,81.55340279698076,14.902864745727301,6873.052885396031
33,1715886059.6615534,11402,117.78425598144533,1715850724,0.9,82.8051304580989,16.104396258674914,7116.041209039201
34,1715886465.1233225,11675,108.09500122070312,1715850724,0.9,83.6579267552839,16.487892535813327,7270.499309264974
35,1715886654.135669,11806,107.0292739868164,1715850724,0.9,84.42776749345376,16.750696022299007,7408.633741160151
36,1715886696.797604,11826,105.35918426513672,1715850724,0.9,85.10177667582116,16.89322009030589,7527.693278400852
37,1715886990.9820344,12013,114.42266845703124,1715850724,0.9,86.02542815479498,17.41086599537325,7703.512543924637
38,1715887294.3194003,12204,115.24983215332033,1715850724,0.9,86.92666225898576,17.882821100826327,7876.039902011938
39,1715887341.796036,12232,115.24772644042967,1715850724,0.9,87.78221053665153,18.276821393813545,8039.758686962376
40,1715887505.892938,12336,121.42874145507812,1715850724,0.9,88.77850137698647,18.9025203023822,8238.92758052556
41,1715887872.411391,12565,133.77500915527344,1715850724,0.9,90.08524488419792,20.130329937060296,8520.581529220814
42,1715887920.9716158,12593,136.90109252929688,1715850724,0.9,91.41941981481696,21.345025695203667,8813.120441206653
43,1715888218.8329966,12772,141.330078125,1715850724,0.9,92.81595810764688,22.626966544007985,9126.781694424117
44,1715888404.1073244,12893,139.4130401611328,1715850724,0.9,94.09675038691441,23.601627312946572,9411.235245196502
45,1715888564.1707363,13013,133.0536346435547,1715850724,0.9,95.14913750668833,24.13542075798021,9635.876903431426
46,1715888989.5441802,13315,124.5502700805664,1715850724,0.9,95.93009675798713,24.2822686966043,9792.212037050862
47,1715889077.0998044,13382,123.22244262695312,1715850724,0.9,96.64323087834045,24.35841782094441,9933.246593343918
48,1715889830.1103091,13907,105.95223236083984,1715850724,0.9,96.8826089744874,24.084150237249258,9966.286214353819
49,1715890345.3155897,14210,106.13231658935548,1715850724,0.9,97.11678238438859,23.81776200432939,9998.955207591565
