,Step,goal_power_alg,goal,mean,std,y_upper,y_lower,agent,max_possible_return,mean_norm,y_upper_norm,y_lower_norm
0,410,0.9,0.9,111.63905334472656,,,,pretrained on virtual testbed,182.8450012243582,0.6105666143300299,,
1,1195,0.9,0.9,93.53384836474855,25.47660330006866,144.48705496488589,42.58064176461123,pretrained on virtual testbed,182.8450012243582,0.5115471997507809,0.790216051832855,0.23287834766870688
2,1423,0.9,0.9,85.19157495052661,22.99052180049769,131.172618551522,39.21053134953124,pretrained on virtual testbed,182.8450012243582,0.4659223625478998,0.7173978926039541,0.21444683249184554
3,1983,0.9,0.9,74.35345787770626,28.480628406201774,131.3147146901098,17.392201065302714,pretrained on virtual testbed,182.8450012243582,0.40664747397973194,0.7181750324635966,0.09511991549586735
4,2904,0.9,0.9,72.37884927103494,24.986120007233108,122.35108928550116,22.40660925656872,pretrained on virtual testbed,182.8450012243582,0.3958481160894476,0.6691519509213786,0.12254428125751661
5,3150,0.9,0.9,73.71885762977175,22.525053795292543,118.76896522035683,28.668750039186662,pretrained on virtual testbed,182.8450012243582,0.4031767734208699,0.6495609091036758,0.15679263773806398
6,3381,0.9,0.9,73.5594822519632,20.51457708760235,114.5886364271679,32.5303280767585,pretrained on virtual testbed,182.8450012243582,0.4023051314468408,0.6266982179434208,0.17791204495026075
7,3469,0.9,0.9,74.38415629010949,19.082104494904094,112.54836527991768,36.2199473003013,pretrained on virtual testbed,182.8450012243582,0.40681536707058846,0.6155397441892123,0.1980909899519646
8,3503,0.9,0.9,75.24756389173257,17.983565354141604,111.21469460001578,39.28043318344936,pretrained on virtual testbed,182.8450012243582,0.41153744093556466,0.6082457483404254,0.21482913353070385
9,3663,0.9,0.9,76.58297173638587,17.40630079607451,111.3955733285349,41.77037014423685,pretrained on virtual testbed,182.8450012243582,0.4188409375349314,0.6092349945725233,0.22844688049733947
10,4235,0.9,0.9,77.64484366142386,16.823650342732627,111.29214434688912,43.99754297595861,pretrained on virtual testbed,182.8450012243582,0.4246484352402421,0.6086693297692571,0.24062754071122702
11,4277,0.9,0.9,78.25076728945963,16.128943151589308,110.50865359263824,45.992880986281016,pretrained on virtual testbed,182.8450012243582,0.4279623001202137,0.6043843301848851,0.25154027005554225
12,4325,0.9,0.9,78.64575148806766,15.46438594381172,109.5745233756911,47.71697960044422,pretrained on virtual testbed,182.8450012243582,0.4301225133935499,0.5992754663346729,0.26096956045242686
13,4387,0.9,0.9,79.33654805385473,15.02843271400471,109.39341348186414,49.27968262584531,pretrained on virtual testbed,182.8450012243582,0.43390055797317406,0.5982849558333508,0.2695161601129973
14,4933,0.9,0.9,79.8418218402371,14.567130806240641,108.97608345271838,50.70756022775582,pretrained on virtual testbed,182.8450012243582,0.43666395748094833,0.5960025306844474,0.27732538427744924
15,5421,0.9,0.9,80.02132396025699,14.053966299622905,108.1292565595028,51.91339136101118,pretrained on virtual testbed,182.8450012243582,0.43764567488540523,0.591371138589804,0.2839202111810065
16,5489,0.9,0.9,80.34194430864326,13.631712172430705,107.60536865350467,53.07851996378186,pretrained on virtual testbed,182.8450012243582,0.4393991838478562,0.5885059363557253,0.29029243133998706
17,5528,0.9,0.9,80.78629261198267,13.31326683330282,107.41282627858831,54.159758945377035,pretrained on virtual testbed,182.8450012243582,0.44182937499535263,0.5874529003217782,0.29620584966892705
18,5595,0.9,0.9,81.50426858598925,13.245703178339806,107.99567494266887,55.01286222930964,pretrained on virtual testbed,182.8450012243582,0.445756066833789,0.5906405656130232,0.3008715680545547
19,5931,0.9,0.9,82.73641687123221,13.887496728309324,110.51141032785085,54.96142341461356,pretrained on virtual testbed,182.8450012243582,0.4524948252192647,0.6043994070816784,0.30059024335685103
20,6644,0.9,0.9,82.99497469147205,13.547574943627106,110.09012457872626,55.89982480421784,pretrained on virtual testbed,182.8450012243582,0.4539089071931141,0.6020953476526341,0.3057224667335942
21,7336,0.9,0.9,82.4189114540503,13.432822618540731,109.28455669113177,55.55326621696884,pretrained on virtual testbed,182.8450012243582,0.4507583521680145,0.5976896057280516,0.3038270986079774
22,7958,0.9,0.9,81.59929084465334,13.606606521422066,108.81250388749747,54.38607780180921,pretrained on virtual testbed,182.8450012243582,0.44627575431787553,0.5951078955337703,0.2974436131019808
23,8160,0.9,0.9,80.74481078653548,13.846997638626322,108.43880606378812,53.05081550928284,pretrained on virtual testbed,182.8450012243582,0.44160250619845126,0.5930640998532375,0.29014091254366503
24,8206,0.9,0.9,80.21634343817941,13.746524893658096,107.7093932254956,52.72329365086321,pretrained on virtual testbed,182.8450012243582,0.43871225847596845,0.5890748585099782,0.2883496584419587
25,8835,0.9,0.9,79.57480046513089,13.77965702111221,107.1341145073553,52.01548642290648,pretrained on virtual testbed,182.8450012243582,0.43520358736791165,0.5859285941095945,0.2844785806262287
