,rounded_step,goal_power_alg,goal,mean,std,y_upper,y_lower,max_possible_return,mean_norm,y_upper_norm,y_lower_norm
0,0.0,0.85_CrossQ,0.85,48.583035342044376,,,,191.65140287092927,0.2534968939140164,,
1,0.0,0.85_SAC,0.85,12.282665136723018,13.407058443155554,39.09678202303412,-14.53145174958809,191.65140287092927,0.0640885741128385,0.20399945649948872,-0.07582230827381176
2,0.0,0.85_TQC,0.85,31.753210572229353,24.571563185835107,80.89633694389957,-17.38991579944086,191.65140287092927,0.16568211918393347,0.4221014599010293,-0.09073722153316237
3,0.0,0.87_TQC,0.87,18.054009156069366,2.235893438980799,22.525796034030964,13.582222278107768,187.9423437227816,0.09606142393700996,0.11985482136615752,0.0722680265078624
4,0.0,0.9_TQC,0.9,17.671012955482784,,,,182.8450012243582,0.09664476926990055,,
5,500.0,0.85_CrossQ,0.85,30.268451412545165,19.780665377720094,69.82978216798536,-9.292879342895024,191.65140287092927,0.15793493269094377,0.3643583147419659,-0.048488449360078324
6,500.0,0.85_SAC,0.85,17.787430679272752,15.094807856278404,47.97704639182956,-12.402185033284056,191.65140287092927,0.09281137739050094,0.2503349606271365,-0.06471220584613464
7,500.0,0.85_TQC,0.85,24.955271099269705,18.287955725671814,61.53118255061334,-11.620640352073924,191.65140287092927,0.13021178413223636,0.32105782493046764,-0.06063425666599493
8,500.0,0.87_TQC,0.87,14.819499264242333,8.890904652056598,32.60130856835553,-2.9623100398708626,187.9423437227816,0.07885130604788756,0.17346441425910414,-0.015761802163329005
9,500.0,0.9_TQC,0.9,15.34566259512007,5.1247449155827685,25.59515242628561,5.096172763954533,182.8450012243582,0.08392716504341467,0.13998278462575697,0.02787154546107237
10,1000.0,0.85_CrossQ,0.85,24.63106046601774,18.086232227329557,60.80352492067685,-11.541403988641374,191.65140287092927,0.12852011567379928,0.3172610479748273,-0.06022081662722875
11,1000.0,0.85_SAC,0.85,21.254984769121023,13.024504072425044,47.303992913971115,-4.794023375729065,191.65140287092927,0.11090440482418767,0.24682309758947474,-0.02501428794109938
12,1000.0,0.85_TQC,0.85,22.635037833208298,13.537705002163117,49.71044783753453,-4.440372171117936,191.65140287092927,0.11810525513581671,0.25937951453980657,-0.023169004268173168
13,1000.0,0.87_TQC,0.87,13.852931086566203,6.408211991137347,26.669355068840897,1.036507104291509,187.9423437227816,0.07370840871815204,0.14190179041386589,0.0055150270224382
14,1000.0,0.9_TQC,0.9,11.305453347312007,5.964956565000342,23.23536647731269,-0.6244597826886782,182.8450012243582,0.061830803530908446,0.12707684826888954,-0.003415241207072655
15,1500.0,0.85_CrossQ,0.85,24.319549065515574,16.516745451256448,57.35303996802847,-8.713941836997321,191.65140287092927,0.12689470935881417,0.2992570840019042,-0.04546766528427588
16,1500.0,0.85_SAC,0.85,21.113458222825038,13.735635010828927,48.58472824448289,-6.357811798832817,191.65140287092927,0.11016594664347036,0.2535057271519325,-0.03317383386499178
17,1500.0,0.85_TQC,0.85,23.24028070001085,12.67969630306456,48.59967330613997,-2.1191119061182704,191.65140287092927,0.12126329550356796,0.253583707596809,-0.011057116589673077
18,1500.0,0.87_TQC,0.87,14.113619415352005,5.576145176131095,25.265909767614197,2.9613290630898153,187.9423437227816,0.07509547415333849,0.13443436570569683,0.01575658260098017
19,1500.0,0.9_TQC,0.9,9.402741631487762,6.02570120803598,21.454144047559723,-2.648660784584198,182.8450012243582,0.05142465787156094,0.11733514126117466,-0.01448582551805277
20,2000.0,0.85_CrossQ,0.85,28.37855287397,14.828180123913262,58.03491312179652,-1.2778073738565219,191.65140287092927,0.14807380717730512,0.30281496640481714,-0.0066673520502069155
21,2000.0,0.85_SAC,0.85,25.3440811053655,14.350433684853746,54.04494847507299,-3.3567862643419915,191.65140287092927,0.1322405196398895,0.28199610159634697,-0.017515062316567926
22,2000.0,0.85_TQC,0.85,24.777614699159457,13.046636588120013,50.87088787539948,-1.315658477080568,191.65140287092927,0.12928480735330877,0.2654344665019713,-0.006864851795353772
23,2000.0,0.87_TQC,0.87,15.127726574889147,5.343117308283331,25.81396119145581,4.4414919583224854,187.9423437227816,0.08049131598147366,0.13735042715829848,0.02363220480464885
24,2000.0,0.9_TQC,0.9,7.819070453921323,6.412052312864279,20.64317507964988,-5.005034171807234,182.8450012243582,0.04276338101432156,0.11289986021723322,-0.0273730981885901
25,2500.0,0.85_CrossQ,0.85,26.42059800546284,15.258437684074888,56.93747337361262,-4.096277362686937,191.65140287092927,0.13785757688012445,0.29708873778481065,-0.021373584024561725
26,2500.0,0.85_SAC,0.85,28.927431639058486,14.85862850283029,58.64468864471907,-0.7898253666020949,191.65140287092927,0.1509377505498362,0.3059966572966558,-0.004121156196983413
27,2500.0,0.85_TQC,0.85,24.932753331857537,13.255336010136265,51.44342535213006,-1.577918688414993,191.65140287092927,0.13009429077150508,0.2684218564618359,-0.008233274918825759
28,2500.0,0.87_TQC,0.87,16.091112358484864,5.366913777066099,26.82493991261706,5.357284804352666,187.9423437227816,0.08561728049012493,0.14272962325182206,0.028504937728427816
29,2500.0,0.9_TQC,0.9,6.764967986817761,6.530856265264643,19.826680517347047,-6.296744543711525,182.8450012243582,0.0369983753535426,0.1084343590723539,-0.034437608365268706
30,3000.0,0.85_CrossQ,0.85,33.29482829506175,17.355766484026848,68.00636126311545,-1.4167046729919477,191.65140287092927,0.1737259826763944,0.3548440566799056,-0.007392091327116715
