,Step,goal_power_alg,goal,mean,std,y_upper,y_lower,max_possible_return,mean_norm,y_upper_norm,y_lower_norm
0,30,0.85_TQC,0.85,83.03844451904297,,,,191.65140287092927,0.43327856344973664,,
1,61,0.85_TQC,0.85,68.11144210585398,21.00441941201625,110.12028092988649,26.10260328182148,191.65140287092927,0.35539234821946347,0.5745863546015824,0.13619834183734464
2,179,0.85_TQC,0.85,58.74557123036181,21.879612186118308,102.50479560259842,14.986346858125195,191.65140287092927,0.3065230431416407,0.5348502232025504,0.07819586308073097
3,201,0.85_TQC,0.85,50.668502901536364,23.94412280933219,98.55674852020074,2.780257282871986,191.65140287092927,0.26437846080187516,0.5142500761477617,0.014506845455988626
4,226,0.85_TQC,0.85,45.479173278411146,23.646194099161676,92.77156147673449,-1.8132149199122054,191.65140287092927,0.2373015412208583,0.484064087645698,-0.009461005203981441
5,233,0.9_TQC,0.9,8.548213958740234,,,,182.8450012243582,0.04675114934233958,,
6,248,0.85_TQC,0.85,40.71591682277808,24.024248182750757,88.76441318827959,-7.332579542723437,191.65140287092927,0.21244778912575385,0.46315556191393714,-0.03825998366242944
7,254,0.9_TQC,0.9,13.42890345511125,6.867825593102301,27.164554641315853,-0.3067477310933526,182.8450012243582,0.07344419243178238,0.14856602291240023,-0.0016776380488354764
8,268,0.9_SAC,0.9,10.256516456604004,,,,182.8450012243582,0.05609404899190459,,
9,286,0.9_SAC,0.9,7.039269912182986,4.527124328135088,16.093518568453163,-2.0149787440871894,182.8450012243582,0.038498563619715896,0.08801727397899035,-0.011020146739558544
10,296,0.85_TQC,0.85,36.72154569935166,24.215391022919988,85.15232774519163,-11.709236346488318,191.65140287092927,0.19160593217302133,0.4443083977973218,-0.0610965334512792
11,348,0.85_TQC,0.85,34.51756282918996,23.182073737590596,80.88171030437115,-11.846584645991229,191.65140287092927,0.18010597528699737,0.42202514092131244,-0.06181319034731774
12,374,0.9_SAC,0.9,2.9912998863095126,7.656424249281584,18.304148384872683,-12.321548612253656,182.8450012243582,0.016359757533863706,0.10010745857040276,-0.06738794350267535
13,383,0.85_TQC,0.85,32.86999512025591,22.163123838543232,77.19624279734236,-11.456252556830556,191.65140287092927,0.17150928523279704,0.402795083369838,-0.059776512904243934
14,394,0.9_CrossQ,0.9,9.684525489807127,,,,182.8450012243582,0.05296576567561627,,
15,411,0.9_SAC,0.9,0.6845496257469651,7.729569911086895,16.143689447920757,-14.774590196426825,182.8450012243582,0.0037438793577243877,0.08829166419546683,-0.08080390548001805
16,422,0.85_TQC,0.85,31.637762518297322,21.186130903773307,74.01002432584394,-10.734499289249293,191.65140287092927,0.16507973353894145,0.3861700108487449,-0.05601054377086201
17,492,0.9_TQC,0.9,13.004638675085916,4.898668264006487,22.80197520309889,3.2073021470729426,182.8450012243582,0.07112384034567452,0.12470658235343249,0.017541098337916568
18,493,0.85_TQC,0.85,30.360747348067928,20.46686208976882,71.29447152760557,-10.572976831469713,191.65140287092927,0.15841651505423554,0.3720007808949876,-0.055167750786516576
19,514,0.9_SAC,0.9,-0.34185966176416605,7.051327804162338,13.76079594656051,-14.444515270088843,182.8450012243582,-0.001869669170472374,0.07525935002005035,-0.0789986883609951
20,538,0.9_SAC,0.9,-1.287879647222342,6.692321378586654,12.096763109950967,-14.67252240439565,182.8450012243582,-0.007043559509959266,0.0661585661568497,-0.08024568517676822
21,540,0.85_TQC,0.85,29.31553683735958,19.779256457092057,68.8740497515437,-10.242976076824533,191.65140287092927,0.15296280850656022,0.35937148760621407,-0.0534458705930936
22,541,0.9_TQC,0.9,12.297847089102204,4.228006932996233,20.75386095509467,3.841833223109738,182.8450012243582,0.06725831719081152,0.11350521379377959,0.021011420587843433
23,564,0.9_SAC,0.9,-2.1284637826148143,6.473791325417479,10.819118868220144,-15.076046433449772,182.8450012243582,-0.011640809255720933,0.05917098523762565,-0.08245260374906752
24,583,0.9_SAC,0.9,-2.5344224599709535,6.083390049614565,9.632357639258178,-14.701202559200084,182.8450012243582,-0.013861043195056313,0.05268045379834522,-0.08040254018845784
25,617,0.85_TQC,0.85,28.292176700076414,19.223630068315586,66.73943683670758,-10.155083436554758,191.65140287092927,0.14762311298670866,0.34823348974729046,-0.052987263773873146
26,632,0.9_SAC,0.9,-2.935590683365943,5.796739639181698,8.657888594997454,-14.52906996172934,182.8450012243582,-0.016055077599654227,0.04735097233735077,-0.07946112753665922
27,683,0.9_TQC,0.9,10.731982453236249,5.029538510997006,20.791059475230263,0.6729054312422367,182.8450012243582,0.05869442632488307,0.11370865670929002,0.003680195940476133
28,702,0.85_TQC,0.85,27.51315873848355,18.636018286673295,64.78519531183014,-9.75887783486304,191.65140287092927,0.1435583477414602,0.3380366349598848,-0.050919939476964396
29,723,0.9_SAC,0.9,-3.271854504748807,5.549103304805101,7.826352104861394,-14.37006111435901,182.8450012243582,-0.017894142485930523,0.042803205187207406,-0.07859149015906847
30,749,0.9_TQC,0.9,9.977705669596068,4.84226675965726,19.66223918891059,0.2931721502815474,182.8450012243582,0.05456920125124459,0.10753501084114532,0.0016033916613438796
31,768,0.85_TQC,0.85,26.918524787331826,18.0489453659816,63.01641551929502,-9.179365944631371,191.65140287092927,0.1404556626463128,0.32880748366728335,-0.04789615837465778
32,792,0.85_TQC,0.85,26.178159884463753,17.623487840409734,61.42513556528322,-9.068815796355715,191.65140287092927,0.13659258159510504,0.320504492245491,-0.04731932905528093
33,801,0.9_SAC,0.9,-3.352765339941747,5.257408907727496,7.162052475513244,-13.867583155396739,182.8450012243582,-0.01833665299839271,0.03917007535100791,-0.07584338134779334
34,830,0.85_TQC,0.85,25.544602550975444,17.20322520348164,59.95105295793873,-8.861847855987836,191.65140287092927,0.13328680180952743,0.31281301394028266,-0.04623941032122781
35,868,0.9_TQC,0.9,9.483997774649414,4.592209689340564,18.66841715333054,0.29957839596828606,182.8450012243582,0.05186905691237446,0.10209968568089886,0.001638428143850054
36,878,0.9_SAC,0.9,-3.423001422951912,5.0055163534070015,6.588031283862091,-13.434034129765916,182.8450012243582,-0.018720782083354582,0.03603068850527836,-0.07347225267198752
37,921,0.9_TQC,0.9,8.985415474854376,4.460382980861974,17.906181436578322,0.0646495131304281,182.8450012243582,0.04914225390186581,0.09793093230154383,0.0003535755021877822
