,Step,goal_power_replay,mean,std,y_upper,y_lower,agent
0,30,0.85,83.03844451904297,,,,pretrain on lower goals
1,61,0.85,68.11144210585398,21.00441941201625,110.12028092988649,26.10260328182148,pretrain on lower goals
2,179,0.85,58.74557123036181,21.879612186118308,102.50479560259842,14.986346858125195,pretrain on lower goals
3,201,0.85,50.668502901536364,23.94412280933219,98.55674852020074,2.780257282871986,pretrain on lower goals
4,226,0.85,45.479173278411146,23.646194099161676,92.77156147673449,-1.8132149199122054,pretrain on lower goals
5,248,0.85,40.71591682277808,24.024248182750757,88.76441318827959,-7.332579542723437,pretrain on lower goals
6,296,0.85,36.72154569935166,24.215391022919988,85.15232774519163,-11.709236346488318,pretrain on lower goals
7,348,0.85,34.51756282918996,23.182073737590596,80.88171030437115,-11.846584645991229,pretrain on lower goals
8,383,0.85,32.86999512025591,22.163123838543232,77.19624279734236,-11.456252556830556,pretrain on lower goals
9,422,0.85,31.637762518297322,21.186130903773307,74.01002432584394,-10.734499289249293,pretrain on lower goals
10,493,0.85,30.360747348067928,20.46686208976882,71.29447152760557,-10.572976831469713,pretrain on lower goals
11,540,0.85,29.31553683735958,19.779256457092057,68.8740497515437,-10.242976076824533,pretrain on lower goals
12,617,0.85,28.292176700076414,19.223630068315586,66.73943683670758,-10.155083436554758,pretrain on lower goals
13,702,0.85,27.51315873848355,18.636018286673295,64.78519531183014,-9.75887783486304,pretrain on lower goals
14,768,0.85,26.918524787331826,18.0489453659816,63.01641551929502,-9.179365944631371,pretrain on lower goals
15,792,0.85,26.178159884463753,17.623487840409734,61.42513556528322,-9.068815796355715,pretrain on lower goals
16,830,0.85,25.544602550975444,17.20322520348164,59.95105295793873,-8.861847855987836,pretrain on lower goals
17,924,0.85,24.915050464458666,16.841419611600312,58.59788968765929,-8.767788758741958,pretrain on lower goals
18,1024,0.85,24.305976206385967,16.520000704412823,57.34597761521161,-8.734025202439678,pretrain on lower goals
19,1042,0.85,23.760928353837496,16.204728406128638,56.170385166094775,-8.64852845841978,pretrain on lower goals
20,1161,0.85,23.236998966702167,15.917578037388353,55.07215504147887,-8.598157108074538,pretrain on lower goals
21,1281,0.85,22.735417071190426,15.653077929347404,54.041572929885234,-8.570738787504382,pretrain on lower goals
22,1366,0.85,22.39895219527078,15.329448315538757,53.05784882634829,-8.259944435806734,pretrain on lower goals
23,1475,0.85,22.060933662920196,15.034708191307047,52.130350045534286,-8.008482719693898,pretrain on lower goals
24,1517,0.85,21.657232262477862,14.801973833529743,51.26117992953735,-7.946715404581624,pretrain on lower goals
25,1603,0.85,21.29482687696992,14.56853337358851,50.43189362414694,-7.842239870207099,pretrain on lower goals
26,1684,0.85,20.97566338174607,14.332526381710522,49.64071614516712,-7.6893893816749745,pretrain on lower goals
27,1820,0.85,20.772582968527495,14.06357844477698,48.89973985808145,-7.354573921026464,pretrain on lower goals
28,1920,0.85,20.55602694723568,13.816671012535915,48.189368972307506,-7.07731507783615,pretrain on lower goals
29,1971,0.85,20.587784292122304,13.5416362480519,47.6710567882261,-6.495488203981495,pretrain on lower goals
30,2066,0.85,20.63306617001139,13.281028816954185,47.195123803919756,-5.928991463896981,pretrain on lower goals
31,2153,0.85,20.570510717918395,13.034714919791721,46.63994055750184,-5.498919121665047,pretrain on lower goals
32,2262,0.85,20.476786933311367,12.805179614906685,46.087146163124736,-5.1335722965020025,pretrain on lower goals
