,Wall time,Step,Value,goal_power_alg,timestamp,rounded_step,smoothed_value,std1,smoothed_value_squared_plus_std1_squared
0,1714154712.400931,30,83.03844451904297,0.85_TQC,1714153135,0,83.03844451904297,,
1,1714154773.598029,61,53.33370971679688,0.85_TQC,1714153135,100,68.11144210585398,21.004419412016244,5080.354180574984
2,1714154962.669153,179,40.29386901855469,0.85_TQC,1714153135,200,58.74557123036181,21.87961218611831,3929.75956859645
3,1714155019.2972157,201,26.918699264526367,0.85_TQC,1714153135,200,50.668502901536364,23.944122809332193,3140.618203391381
4,1714155069.1866975,226,25.23562431335449,0.85_TQC,1714153135,200,45.479173278411146,23.64619409916168,2627.497697462975
5,1714155117.743258,248,17.60466766357422,0.85_TQC,1714153135,200,40.71591682277808,24.024248182750757,2234.9503834657858
6,1714155208.550863,296,13.58029556274414,0.85_TQC,1714153135,300,36.72154569935166,24.215391022919988,1934.8570809424864
7,1714155280.2786012,348,19.69460868835449,0.85_TQC,1714153135,300,34.51756282918996,23.182073737590596,1728.8706864421642
8,1714155344.3655422,383,20.268943786621094,0.85_TQC,1714153135,400,32.86999512025591,22.163123838543232,1571.6406374882504
9,1714155396.1173842,422,21.08764266967773,0.85_TQC,1714153135,400,31.637762518297322,21.186130903773307,1449.8001598359972
10,1714155491.7362845,493,18.27229881286621,0.85_TQC,1714153135,500,30.360747348067928,20.46686208976882,1340.66742333483
11,1714155573.8772638,540,18.48557472229004,0.85_TQC,1714153135,500,29.31553683735958,19.77925645709206,1250.6196860580044
12,1714155674.372579,617,16.781526565551758,0.85_TQC,1714153135,600,28.292176700076414,19.223630068315583,1169.995215431794
13,1714155807.113948,702,18.06723976135254,0.85_TQC,1714153135,700,27.51315873848355,18.6360182866733,1104.2750813502153
14,1714155925.719608,768,19.19175338745117,0.85_TQC,1714153135,800,26.918524787331826,18.048945365981595,1050.3714055503865
15,1714155967.0603256,792,15.920979499816896,0.85_TQC,1714153135,800,26.178159884463753,17.623487840409734,995.883378597617
16,1714156019.6538997,830,16.227710723876953,0.85_TQC,1714153135,800,25.544602550975444,17.20322520348164,948.4776768890072
17,1714156143.738131,924,15.126381874084473,0.85_TQC,1714153135,900,24.915050464458666,16.841419611600312,904.3931541805176
18,1714156273.475205,1024,14.327428817749023,0.85_TQC,1714153135,1000,24.305976206385967,16.520000704412823,863.6909026192009
19,1714156306.9938135,1042,14.381032943725586,0.85_TQC,1714153135,1000,23.760928353837496,16.204728406128638,827.174938952591
20,1714156466.0985334,1161,13.792012214660645,0.85_TQC,1714153135,1200,23.236998966702167,15.91757803738835,793.3274115548656
21,1714156636.3358736,1281,13.287148475646973,0.85_TQC,1714153135,1300,22.735417071190426,15.653077929347402,761.9180380631999
22,1714156747.6596286,1366,15.79126262664795,0.85_TQC,1714153135,1400,22.39895219527078,15.329448315538755,736.7050451047998
23,1714156886.2439775,1475,15.154476165771484,0.85_TQC,1714153135,1500,22.060933662920196,15.034708191307047,712.7272444775207
24,1714156950.3308067,1517,13.091550827026367,0.85_TQC,1714153135,1500,21.657232262477862,14.801973833529741,688.1341386394112
25,1714157101.9684951,1603,13.323472023010254,0.85_TQC,1714153135,1600,21.29482687696992,14.56853337358851,665.7118163774827
26,1714157211.5466003,1684,13.709673881530762,0.85_TQC,1714153135,1700,20.97566338174607,14.332526381710524,645.3997667867511
27,1714157381.1186936,1820,15.994492530822754,0.85_TQC,1714153135,1800,20.772582968527495,14.06357844477698,629.2844418567543
28,1714157486.7834675,1920,15.297442436218262,0.85_TQC,1714153135,1900,20.55602694723568,13.816671012535917,613.4506417241296
29,1714157579.4561958,1971,21.38266944885254,0.85_TQC,1714153135,2000,20.587784292122304,13.5416362480519,607.232774333511
30,1714157700.6491032,2066,21.79996490478516,0.85_TQC,1714153135,2100,20.63306617001139,13.281028816954187,602.1091460128359
31,1714157816.2453642,2153,18.91266822814941,0.85_TQC,1714153135,2200,20.570510717918395,13.03471491979172,593.0497042362365
32,1714157959.041603,2262,17.92497444152832,0.85_TQC,1714153135,2300,20.476786933311367,12.805179614906685,583.2714280822528
33,1714158043.2275329,2317,19.486799240112305,0.85_TQC,1714153135,2300,20.442584178729945,12.5776482220802,576.0964827028571
34,1714158143.237004,2399,21.514633178710938,0.85_TQC,1714153135,2400,20.478734597455556,12.36002801568249,572.1488632614792
35,1714158242.647488,2476,22.194061279296875,0.85_TQC,1714153135,2500,20.5352366187498,12.153813438170403,569.4111240778941
36,1714158333.8130138,2564,24.27245140075684,0.85_TQC,1714153135,2600,20.655578070407273,11.970672849512896,569.949913892755
37,1714158431.1152532,2624,23.910964965820312,0.85_TQC,1714153135,2600,20.758127574802195,11.790457738630101,569.9147540981857
38,1714158551.04671,2719,22.41987991333008,0.85_TQC,1714153135,2700,20.80937337198853,11.60691392493714,567.750470995725
39,1714158763.2962515,2894,24.37076759338379,0.85_TQC,1714153135,2900,20.9169591841841,11.44321311070581,568.466307809853
40,1714158891.0376744,3014,24.626388549804688,0.85_TQC,1714153135,3000,21.02679726849648,11.287017174923696,569.5229600774735
41,1714158979.3714118,3094,26.49930953979492,0.85_TQC,1714153135,3100,21.185724488224075,11.157502258624065,573.3247787421384
42,1714159124.6247995,3173,27.35919189453125,0.85_TQC,1714153135,3200,21.361658191506088,11.043334519525914,578.2756780008917
43,1714159266.2837968,3293,27.353992462158203,0.85_TQC,1714153135,3300,21.529328275526908,10.930664409630127,582.9914004313571
44,1714159384.8811488,3393,28.826152801513672,0.85_TQC,1714153135,3400,21.729892690812104,10.844005944557825,589.7807012798148
