Wall time,Step,Value
1715087964.9634032,233,8.548213958740234
1715088005.8783462,254,18.260786056518555
1715088344.7622197,492,12.168794631958008
1715088409.281486,541,10.219597816467285
1715088629.4904923,683,4.623552322387695
1715088719.5796301,749,6.317965984344482
1715088907.3460195,868,6.62371826171875
1715089003.699195,921,5.632184982299805
1715089132.4909241,1015,5.092880725860596
1715089596.3651657,1384,3.7930660247802734
1715090671.1579726,2225,-2.5827865600585938
1715090991.8657343,2500,3.438112258911133
1715091410.4914184,2854,6.712253570556641
1715091634.5433915,3013,5.942242622375488
1715091789.879012,3115,8.091949462890625
1715091903.749083,3209,9.639946937561035
1715092114.7434676,3370,12.40189266204834
1715092372.2689693,3585,12.759475708007812
1715092428.483565,3633,15.94893741607666
1715092801.6761463,3982,14.838604927062988
1715092941.1149364,4102,14.895954132080078
1715093096.3808,4217,15.687705039978027
1715093239.7916088,4337,16.3104190826416
1715093374.596288,4444,17.73521614074707
1715094156.8362887,5009,21.015380859375
1715094369.8780882,5154,27.488475799560547
1715094530.3814764,5274,28.25312614440918
1715094652.1879094,5365,31.2209529876709
1715094784.0451756,5458,33.65960693359375
1715095136.400472,5711,35.80344009399414
1715095301.5963733,5831,34.65318298339844
1715095456.9828851,5951,34.846412658691406
1715095613.6903217,6065,36.43472671508789
1715096257.2507572,6546,42.80924606323242
1715096905.7559392,7005,45.288368225097656
1715097277.9275448,7311,45.386199951171875
1715097421.5096576,7422,42.1882209777832
1715098223.4233065,8025,34.901123046875
1715099246.670384,8752,43.46708297729492
1715099663.8406587,9061,45.594276428222656
1715099824.4715567,9181,45.98468017578125
1715100873.8526177,9981,39.223331451416016
1715101240.3016155,10258,42.970245361328125
1715101516.2256768,10475,38.388370513916016
1715102477.144705,11228,29.052162170410156
1715102613.8818555,11348,26.234216690063477
1715103064.696876,11693,21.925363540649414
1715103213.9977477,11813,21.924821853637695
1715104123.0945613,12494,32.32697296142578
1715104371.5914543,12648,27.057540893554688
1715104656.3218775,12863,26.0328311920166
1715104776.373515,12947,29.086694717407227
1715104930.1401365,13067,29.17814826965332
1715105770.6565168,13665,39.484535217285156
1715106500.8284302,14211,42.16197967529297
1715106799.7075458,14434,42.238121032714844
1715106941.6658134,14554,42.18844223022461
1715107049.2741907,14634,41.861785888671875
1715107386.7164524,14876,45.16749954223633
1715107824.6461473,15193,44.37092971801758
1715108048.3966455,15370,44.130950927734375
1715108198.0022264,15490,44.09149169921875
1715108656.9351356,15822,39.41831588745117
1715109445.5310426,16384,35.295475006103516
1715109601.9370575,16480,36.82916259765625
1715109796.9105175,16610,44.502620697021484
1715110077.2368588,16792,56.3592643737793
1715110382.1089652,17032,50.4689826965332
1715110548.6770163,17137,44.155120849609375
1715110838.1393373,17365,42.533573150634766
1715111110.1607246,17584,42.733184814453125
1715111247.3069987,17704,42.67080307006836
1715112122.203766,18357,49.40399932861328
1715113199.671935,19121,44.47581481933594
1715113344.645363,19222,40.01707458496094
1715113505.735546,19342,35.75108337402344
1715114095.0296514,19793,37.79067611694336
1715115356.1669583,20701,50.66056442260742
1715115458.1869726,20775,50.32558822631836
1715115711.8378706,20962,52.870933532714844
1715115990.119375,21150,54.71121597290039
1715116284.648491,21364,56.17575454711914
1715116734.8016403,21670,50.363582611083984
1715116881.277574,21790,50.288291931152344
1715117053.2810583,21910,50.2319450378418
1715117463.4142692,22220,54.03384780883789
1715118870.6481695,23223,51.48127746582031
1715118990.8963344,23291,56.613609313964844
1715119761.8216279,23837,57.74406814575195
1715120138.5813901,24115,61.14118957519531
1715120257.6585886,24195,64.29170989990234
1715120347.5850577,24240,70.2334213256836
1715120424.5526383,24287,76.22024536132812
1715120615.0327978,24414,82.1519775390625
1715121006.208696,24700,89.88517761230469
1715121275.5836618,24891,88.75748443603516
1715121589.6621604,25131,85.59603881835938
1715121843.9490697,25333,79.66754150390625
1715122492.6363633,25815,76.7746353149414
1715122717.5509548,25978,76.65621948242188
1715123268.4439716,26356,76.13068389892578
1715124128.2732334,26945,65.53939819335938
1715124195.9722486,26988,64.32373046875
1715124738.8164456,27343,76.75302124023438
1715124848.766619,27420,80.78189086914062
1715124941.9275343,27484,83.74308776855469
1715125263.551577,27712,82.0147705078125
1715125322.1075196,27751,85.119140625
1715125451.1950433,27842,86.92621612548828
1715126081.6567461,28313,76.68424224853516
1715126177.3550315,28382,79.86518859863281
1715126320.0505395,28478,80.93943786621094
1715126785.0158267,28828,78.0116195678711
1715127269.4084055,29159,74.40904998779297
1715127402.588173,29248,72.59539031982422
1715127537.0948567,29344,72.6299819946289
1715127677.6229315,29440,71.01915740966797
1715127924.618332,29620,66.39698791503906
1715128342.932014,29906,61.052005767822266
1715128491.5924528,30026,59.58594512939453
1715128597.6239274,30093,58.010589599609375
1715128991.953476,30397,60.56197738647461
1715129345.2309325,30672,63.2933349609375
1715130034.8334875,31141,68.37162017822266
1715130247.330148,31268,68.62296295166016
1715130728.972487,31609,62.8360481262207
1715130885.4525545,31729,61.28658676147461
1715131151.4473646,31908,61.39082717895508
1715131304.0227582,32028,60.05329132080078
1715131986.9036753,32534,58.37106704711914
1715132084.59211,32609,58.49602508544922
1715132557.7473357,32942,58.758155822753906
1715132817.7487247,33126,59.352840423583984
1715133175.5864315,33405,57.992008209228516
1715133700.924782,33800,50.52320861816406
1715134382.0590055,34280,49.233741760253906
1715134547.619001,34378,55.17422103881836
1715135048.5055115,34754,55.477577209472656
1715135201.986022,34874,55.473087310791016
1715135318.8493476,34947,55.509124755859375
1715135600.6892705,35148,56.9321174621582
1715135704.8679414,35215,58.44508361816406
1715136148.305421,35522,61.16960144042969
1715136208.356495,35539,62.92387390136719
1715136811.2679706,35996,62.78330993652344
1715136967.3726494,36116,59.52216720581055
1715137142.9319155,36236,59.491756439208984
1715138477.0953143,37146,63.68134689331055
1715139240.338367,37687,50.40494155883789
1715140210.7795029,38406,45.22060012817383
1715140355.2115881,38514,46.667484283447266
1715141110.3800943,39053,49.53247833251953
1715141282.8041284,39173,43.83097457885742
1715141580.5762422,39413,36.348392486572266
