,Position,Power
0,5102300,1.9e-06
0,5106050,3.1e-06
0,5109800,4.6e-06
0,5113550,7.1e-06
0,5117300,1.08e-05
0,5121050,1.67e-05
0,5124800,2.533e-05
0,5128550,3.43e-05
0,5132300,5.984e-05
0,5136050,9.036e-05
0,5139800,0.0001259
0,5143550,0.0001942
0,5147300,0.0002742
0,5151050,0.000366
0,5154800,0.0004745
0,5158550,0.000589
0,5162300,0.0006924
0,5166050,0.000789
0,5169800,0.000856
0,5173550,0.000882
0,5177300,0.0008793
0,5181050,0.0008245
0,5184800,0.000742
0,5188550,0.0006323
0,5192300,0.000533
0,5196050,0.000432
0,5199800,0.0003147
0,5203550,0.0002257
0,5207300,0.0001549
0,5211050,0.0001054
0,5214800,6.324e-05
0,5218550,5.32e-05
0,5222300,2.754e-05
0,5226050,1.705e-05
0,5229800,1.05e-05
0,5233550,6.85e-06
0,5237300,4.53e-06
0,5241050,3e-06
0,5244800,2.1e-06
0,5248550,1.5e-06
0,5252300,1.1e-06
