,parameter,value
0,center_x1,0.5105592105893695
1,sigma_x1,0.08031387430615872
2,center_y1,0.502877808033377
3,sigma_y1,0.12950025610996257
4,center_x2,0.5160091035452506
5,sigma_x2,0.08577496560332046
6,center_y2,0.4810950166302564
7,sigma_y2,0.11809934864430437
