,Position,Power
0,5386300,8e-07
0,5390050,8.3e-07
0,5393800,9e-07
0,5397550,1e-06
0,5401300,1.1e-06
0,5405050,1.25e-06
0,5408800,1.55e-06
0,5412550,2.15e-06
0,5416300,3.4e-06
0,5420050,6e-06
0,5423800,1.097e-05
0,5427550,2.104e-05
0,5431300,4e-05
0,5435050,6.765e-05
0,5438800,0.00011843
0,5442550,0.0002208
0,5446300,0.0003505
0,5450050,0.0005136
0,5453800,0.0006666
0,5457550,0.000798
0,5461300,0.000878
0,5465050,0.000884
0,5468800,0.000816
0,5472550,0.000695
0,5476300,0.000542
0,5480050,0.000408
0,5483800,0.0002656
0,5487550,0.0001591
0,5491300,8.726e-05
0,5495050,4.91e-05
0,5498800,2.444e-05
0,5502550,1.39e-05
0,5506300,7.33e-06
0,5510050,4.3e-06
0,5513800,2.7e-06
0,5517550,1.97e-06
0,5521300,1.55e-06
0,5525050,1.4e-06
0,5528800,1.25e-06
0,5532550,1.2e-06
0,5536300,1.1e-06
