Wall time,Step,Value
1714286193.8065372,38047,164.30279541015625
1714286333.111148,38151,157.6835479736328
1714286443.1857958,38235,154.1060333251953
1714286537.1206295,38299,150.83033752441406
1714286666.9229646,38407,144.04884338378906
1714286794.919418,38510,138.76763916015625
1714287082.6262133,38620,131.7061004638672
1714287195.0404294,38706,126.72360229492188
1714287317.6208928,38795,119.77445220947266
1714287429.3711467,38886,114.43789672851562
1714287585.1164763,39004,107.45407104492188
1714287728.3398526,39114,100.69115447998047
1714287809.942199,39167,96.99176788330078
1714287879.8687136,39188,91.37737274169922
1714287950.9392972,39237,86.00439453125
1714288068.2239227,39330,81.04280090332031
1714288228.4203157,39450,74.42481231689453
1714288351.0020938,39550,67.56681060791016
1714288479.000088,39643,62.59254455566406
1714288619.935105,39763,56.35076141357422
1714288710.683498,39830,53.196624755859375
1714288852.4022033,39950,47.23808288574219
1714288943.151688,40023,43.59149169921875
1714289085.5321403,40143,36.630287170410156
1714289229.1149948,40260,30.091751098632812
1714289322.149048,40329,31.668792724609375
1714289469.6427646,40449,31.786916732788086
1714289609.1325479,40532,30.427331924438477
1714289776.370133,40652,27.110544204711914
1714289937.463871,40772,27.220972061157227
1714290002.5166228,40817,30.656381607055664
1714290166.1939263,40937,30.85525894165039
1714290288.661771,41033,30.875652313232422
1714290448.9183953,41153,31.165884017944336
1714290604.1138506,41273,29.73080062866211
1714290736.502597,41367,31.424192428588867
1714290881.8966835,41487,31.508060455322266
1714291011.1655147,41584,30.063915252685547
1714291169.6698244,41704,29.1497745513916
1714291321.7954674,41824,27.964107513427734
1714291451.77992,41917,27.740781784057617
1714291615.160797,42037,27.77228355407715
1714291733.7705693,42130,29.56421661376953
1714291890.8967786,42250,27.896772384643555
1714292043.3840213,42370,27.85904312133789
1714292163.9790633,42461,26.350791931152344
1714292312.318476,42581,26.284961700439453
1714292408.9638555,42651,26.36960220336914
1714292556.9391634,42771,26.3619441986084
1714292697.6941643,42882,26.309085845947266
1714292745.835797,42911,27.75446128845215
1714292864.3268156,43007,29.324045181274414
1714292961.0920513,43085,30.913326263427734
1714293074.52338,43176,32.67838668823242
1714293230.4445903,43296,32.62984848022461
1714293389.7963243,43416,27.868968963623047
1714293537.5918899,43536,27.802886962890625
1714293694.595268,43656,26.2376708984375
1714293842.9316418,43776,26.215438842773438
1714293988.8612626,43896,26.243452072143555
1714294094.6532662,43973,29.046430587768555
1714294250.6305594,44093,29.11949348449707
1714294364.2493143,44171,30.790693283081055
1714294488.4551933,44258,33.69276428222656
1714294637.6955848,44378,33.787811279296875
1714294714.5428193,44430,36.98603820800781
1714294866.2519748,44550,37.080467224121094
1714294970.779169,44627,38.57798385620117
1714295069.4704669,44688,40.9992561340332
1714295114.963886,44718,45.57902145385742
1714295158.2911606,44742,50.1141357421875
1714295212.2095442,44776,56.291412353515625
1714295273.4710302,44818,58.96586608886719
1714295409.591499,44916,60.473175048828125
1714295536.8057134,45012,62.18302536010742
1714295646.9914105,45086,62.003421783447266
1714295736.2951038,45153,64.95046997070312
1714295766.3227334,45170,68.41960906982422
1714295808.3291173,45193,72.83180236816406
1714295901.0020757,45256,78.55229949951172
1714295970.3867998,45306,84.32322692871094
1714296034.236017,45341,90.29179382324219
1714296090.4512959,45377,96.3570785522461
1714296177.8774395,45436,102.29408264160156
1714296335.3632786,45556,102.35464477539062
1714296417.9846132,45600,102.76946258544922
1714296538.819985,45681,105.73902130126953
1714296594.1792786,45714,108.60022735595703
1714296693.3532314,45780,110.29434204101562
1714296857.3975022,45900,110.30706787109375
1714296970.2224073,45983,108.6910400390625
1714297128.7807155,46103,108.68179321289062
1714297243.1770594,46186,108.46382141113281
1714297311.9655604,46225,112.19644165039062
1714297366.6153872,46254,113.78781127929688
1714297437.9786403,46302,111.85001373291016
1714297474.1528885,46322,110.18805694580078
1714297522.5898483,46348,110.50088500976562
1714297590.8813388,46393,111.61421203613281
1714297647.51897,46421,110.3781967163086
1714297741.6896465,46476,109.09447479248047
1714297785.3816476,46494,107.39447784423828
1714297855.6652286,46542,106.79395294189453
1714297920.535744,46578,106.64574432373047
1714297983.9029307,46616,107.0384750366211
1714298063.8823843,46670,107.09176635742188
1714298135.9113624,46713,107.0772476196289
1714298191.0298338,46749,105.04367065429688
1714298262.469501,46796,103.8990478515625
1714298311.8748734,46828,108.51209259033203
1714298371.5775757,46868,109.76277923583984
1714298418.3933642,46893,112.97380828857422
1714298455.274005,46912,113.26847839355469
1714298509.7422163,46940,114.84793853759766
1714298560.2902408,46970,120.90849304199219
1714298615.9592993,46991,124.1886978149414
1714298775.8424633,47111,124.19620513916016
1714298889.4046416,47188,122.4629898071289
1714298943.0232654,47222,122.47706604003906
1714298997.7209086,47251,120.95790100097656
1714299046.1598487,47279,120.73770141601562
1714299195.4028833,47391,117.7125015258789
1714299331.3403165,47486,113.1214599609375
1714299488.6351755,47606,110.5281753540039
1714299634.745072,47719,110.09222412109375
1714299677.4180627,47740,111.92432403564453
1714299804.1443377,47836,110.7518310546875
1714299920.2249403,47906,105.88666534423828
1714299965.1943364,47930,106.0971908569336
1714300008.5138264,47957,106.35105895996094
1714300061.7118938,47992,106.53361511230469
1714300102.4512403,48011,106.9386215209961
1714300226.7725003,48101,105.93814849853516
1714300376.6629164,48221,101.16043090820312
1714300535.768223,48341,96.43516540527344
1714300589.214619,48367,96.54090118408203
1714300663.1708436,48405,96.73927307128906
1714300714.4334495,48429,96.78850555419922
1714300773.7826524,48465,96.60350799560547
1714300808.1331632,48482,97.10440826416016
1714300947.8748982,48587,92.26981353759766
1714301095.309191,48707,92.19264221191406
1714301193.5663629,48780,94.06474304199219
1714301262.413594,48811,94.02193450927734
1714301313.2021377,48840,95.5103988647461
1714301363.3328738,48863,97.63610076904297
1714301399.623431,48886,102.47763061523438
1714301446.9728544,48904,107.36409759521484
1714301588.4639988,48996,109.08121490478516
1714301743.2990122,49116,109.19575500488281
1714301779.407947,49133,109.3065185546875
1714301931.533344,49253,107.72882843017578
1714302028.24407,49323,109.76118469238281
1714302164.42154,49419,105.05728149414062
1714302277.373268,49501,100.21720886230469
1714302356.4423864,49544,99.03424072265625
1714302425.4600797,49587,98.57230377197266
1714302501.3961277,49634,101.3336410522461
1714302535.4556205,49651,107.80779266357422
1714302582.7010674,49675,114.04727935791016
1714302642.2209039,49704,114.08187866210938
1714302700.4633548,49739,113.70068359375
1714302747.04464,49763,113.49179077148438
1714302802.8289595,49795,113.71273803710938
1714302952.9172795,49904,108.52049255371094
1714303022.1728036,49949,113.13898468017578
1714303084.574084,49993,119.31603240966797
1714303125.314529,50018,122.5416030883789
1714303189.6577384,50046,122.62521362304688
1714303326.9701607,50141,118.15965270996094
1714303424.5856683,50191,118.00897216796875
1714303466.2225506,50212,116.04441833496094
1714303516.3516977,50241,115.944091796875
1714303583.3371685,50286,120.3468246459961
1714303623.836565,50305,126.75587463378906
1714303723.3049326,50370,125.93756103515625
1714303784.0374055,50404,131.9147491455078
1714303830.1182208,50431,135.231689453125
1714303869.542084,50456,139.90794372558594
1714303969.2560968,50526,141.63406372070312
1714304005.2918413,50547,143.04769897460938
1714304131.0754874,50638,140.02520751953125
1714304245.769585,50714,137.40078735351562
1714304290.1740305,50733,137.28921508789062
1714304371.3013976,50776,136.93101501464844
1714304410.5960722,50797,137.12432861328125
1714304519.9376855,50867,135.52438354492188
1714304560.2559857,50889,135.5972900390625
1714304687.7718601,50963,132.48123168945312
1714304826.6026251,51056,132.79241943359375
1714304874.8077474,51084,132.8896026611328
1714304987.9852343,51166,129.66688537597656
1714305077.660081,51231,126.76679992675781
1714305122.3758745,51257,126.88129425048828
1714305171.4169147,51283,131.43763732910156
1714305226.2310898,51314,131.50262451171875
