Wall time,Step,Value
1716021521.5612142,931,-6.769798278808594
1716021549.5427983,2987,2.546247720718384
1716021554.2688987,3302,2.2619524002075195
1716021578.603561,4518,8.514134407043457
1716021614.206629,6112,28.788665771484375
1716021620.6188195,6404,34.89492416381836
1716021666.5358777,8445,61.87202453613281
1716021784.4580348,13294,116.24021911621094
1716021791.0588582,13562,113.3399429321289
1716021808.4869604,14264,103.73210144042969
1716021934.5858457,19455,100.31986999511719
1716021944.2432725,19880,103.040283203125
1716021986.2269583,21721,97.53824615478516
1716021997.9837024,22195,95.12129211425781
1716022014.4453845,22858,94.30988311767578
1716022026.1956265,23325,98.10942077636719
1716022096.1889834,26245,96.51411437988281
1716022099.1247127,26376,92.40667724609375
1716022114.241181,27048,101.00218200683594
1716022169.4385378,29525,91.42631530761719
1716022207.2031403,31186,94.23700714111328
1716022297.504822,35139,132.31446838378906
1716022299.6011992,35236,132.3245391845703
1716022329.3353217,36575,131.67727661132812
1716022334.2900107,36803,131.5504608154297
1716022355.2554996,37730,142.6433563232422
1716022359.5987337,37917,142.08502197265625
1716022360.9943807,37979,145.3380126953125
1716022376.1254604,38640,143.7060546875
1716022461.202032,42393,143.0643768310547
1716022505.1591737,44184,138.99172973632812
1716022530.0090861,45176,142.48094177246094
1716022542.1574054,45665,140.09959411621094
1716022544.018036,45740,142.9239959716797
1716022594.7944822,47782,135.0274658203125
1716022614.6156204,48584,141.5698699951172
1716022626.7180653,49064,144.94422912597656
1716022630.6155732,49215,144.8621063232422
1716022634.48764,49372,143.6768798828125
1716022636.7737308,49464,143.41017150878906
1716022652.0189767,50066,139.14942932128906
1716022665.4239516,50611,141.83958435058594
1716022717.6945696,52924,146.320556640625
1716022729.0610344,53435,146.2947235107422
1716022739.0580282,53892,148.98204040527344
1716022766.453978,55139,145.7441864013672
1716022770.8562472,55345,145.78756713867188
1716022782.224671,55859,145.02601623535156
1716022787.0413976,56074,144.90994262695312
1716022789.4159107,56181,144.6723175048828
1716022806.3562763,56934,148.108154296875
1716022808.5373585,57032,149.50967407226562
1716022815.3621764,57336,147.72967529296875
1716022818.1973326,57462,146.4455108642578
1716022827.7912989,57877,146.59373474121094
1716022835.763089,58221,146.8377685546875
1716022837.466108,58297,145.3602752685547
1716022872.5012438,59827,148.6571807861328
1716022965.1999168,63928,147.4518280029297
1716022967.9984157,64055,147.8839111328125
1716023008.0894902,65849,149.97335815429688
1716023012.2295656,66039,150.16893005371094
1716023032.5508091,66895,148.72177124023438
1716023043.6743152,67343,150.52784729003906
1716023045.1391582,67395,150.60116577148438
1716023053.8446097,67742,153.0806427001953
1716023055.0619087,67790,153.03627014160156
1716023061.3618183,68044,151.55538940429688
1716023084.8239927,68998,147.907470703125
1716023088.7055137,69156,147.43551635742188
1716023100.2650924,69628,150.74684143066406
1716023162.6161568,72302,150.90628051757812
1716023166.919841,72493,150.94406127929688
1716023173.4677696,72788,149.59689331054688
1716023181.3114057,73136,150.6438446044922
1716023186.5271502,73365,149.2986602783203
1716023199.3393595,73936,146.69085693359375
1716023206.7188194,74265,147.5232696533203
1716023211.8800292,74490,147.06961059570312
1716023274.6351304,77113,153.70462036132812
1716023280.0294287,77347,153.3741912841797
1716023281.202734,77399,152.05030822753906
1716023302.1948001,78324,146.88214111328125
1716023316.464284,78964,151.1640167236328
1716023332.002164,79648,151.23728942871094
1716023377.349337,81578,149.79010009765625
1716023398.6824553,82448,151.68020629882812
1716023422.223829,83461,149.5439453125
1716023429.4909992,83794,149.10833740234375
1716023436.9309342,84126,150.0266571044922
1716023460.9327488,85212,150.4781951904297
1716023464.4954796,85376,148.2895965576172
1716023476.1916065,85904,150.7128448486328
1716023479.2036395,86041,150.58860778808594
1716023482.1029937,86170,150.28221130371094
1716023483.3468516,86226,150.36563110351562
1716023535.1534412,88622,142.84457397460938
1716023541.3900244,88908,143.1924591064453
1716023542.7508023,88973,143.16172790527344
1716023566.518094,90048,149.4384002685547
1716023579.1969762,90612,150.85775756835938
1716023590.609142,91123,148.1505889892578
1716023621.3974092,92474,152.54019165039062
1716023632.8300602,92978,150.2314453125
1716023642.240939,93394,151.74087524414062
1716023648.4494414,93666,151.6329803466797
1716023682.3382502,95175,149.19532775878906
1716023686.8496094,95375,149.05531311035156
1716023714.2345607,96594,145.99249267578125
1716023731.6568494,97367,145.70803833007812
1716023732.618024,97408,143.59640502929688
1716023750.4077642,98192,143.86495971679688
1716023754.7657013,98390,145.466064453125
1716023772.946952,99206,151.78756713867188
1716023813.7730236,100937,146.11370849609375
1716023823.0277,101306,152.22128295898438
1716023845.8301144,102227,153.05419921875
1716023861.233008,102842,152.57644653320312
1716023871.7463715,103267,152.38621520996094
1716023878.8484995,103554,151.93006896972656
1716023880.7240896,103628,153.7222442626953
1716023883.4811954,103735,154.0796661376953
1716023891.9522643,104072,149.3357696533203
1716023901.9905443,104475,148.43336486816406
1716023918.3677783,105144,152.89154052734375
1716023920.7938774,105249,150.9597625732422
1716023923.4743235,105364,151.2914581298828
1716023931.464319,105725,151.57266235351562
1716023932.4025865,105767,151.8787384033203
1716023961.7657354,107080,152.61595153808594
1716023967.8293512,107352,150.45591735839844
1716023992.0707996,108427,154.5660858154297
1716024013.2941163,109354,155.57017517089844
1716024030.482588,110099,155.08021545410156
1716024039.6983154,110509,154.06578063964844
1716024051.5723422,111025,152.97952270507812
1716024054.7655625,111163,152.86074829101562
1716024061.844311,111467,154.47506713867188
1716024104.0643184,113318,148.1725616455078
1716024120.8671012,114065,146.70034790039062
1716024131.1615455,114478,148.97479248046875
1716024134.577785,114622,150.48794555664062
1716024154.0698795,115497,155.23464965820312
1716024169.6953313,116193,154.6776123046875
