Wall time,Step,Value
1716044858.1069572,943,-12.765401840209961
1716044916.523041,3384,-1.3827250003814697
1716044923.4772432,3695,-0.4665239453315735
1716044950.3028777,4939,6.906238555908203
1716044985.7524428,6564,19.12963104248047
1716044992.9511807,6896,20.73704719543457
1716045041.7722144,9139,24.218734741210938
1716045184.5760634,15658,63.49431610107422
1716045191.2222347,15956,67.61090087890625
1716045211.1363676,16868,74.86087799072266
1716045245.8795638,18463,78.8877182006836
1716045349.343397,23069,46.266666412353516
1716045361.2920704,23609,39.4264030456543
1716045413.7442484,25894,33.07867431640625
1716045428.4933426,26485,30.233352661132812
1716045448.5805817,27297,23.340408325195312
1716045464.9893537,27998,13.571269035339355
1716045557.0840094,32101,9.844071388244629
1716045562.4650311,32341,9.837556838989258
1716045583.3884444,33269,8.2138032913208
1716045636.1192982,35605,29.701568603515625
1716045655.3898208,36453,34.14217758178711
1716045705.0512574,38676,36.76633071899414
1716045835.765056,44414,54.96937942504883
1716045838.1313913,44507,53.620330810546875
1716045884.6760643,46551,60.780975341796875
1716045891.8952432,46874,59.293182373046875
1716045925.9490407,48411,66.2127914428711
1716045933.0234752,48731,63.56562042236328
1716045935.1422057,48827,64.93700408935547
1716045957.3957968,49814,69.3905258178711
1716046001.3971295,51784,64.52899932861328
1716046049.8347933,53937,62.102054595947266
1716046098.8842242,56128,74.76668548583984
1716046155.8374214,58691,90.77212524414062
1716046194.0008388,60261,90.81086730957031
1716046211.7388594,60983,80.44058990478516
1716046214.260163,61088,79.00897979736328
1716046291.5223882,64389,66.4863510131836
1716046320.139549,65673,90.32658386230469
1716046335.0265088,66339,93.0360107421875
1716046337.318555,66439,94.3890151977539
1716046342.1116707,66650,91.55681610107422
1716046348.4903052,66933,94.46714782714844
1716046352.2520528,67099,97.15033721923828
1716046379.2532392,68305,87.7922592163086
1716046399.594386,69200,93.54703521728516
1716046492.1152325,73330,70.2960433959961
1716046508.9348984,74089,69.67880249023438
1716046523.5638378,74743,82.41537475585938
1716046570.055433,76715,101.9725570678711
1716046579.977802,77124,92.2734146118164
1716046598.552022,77967,93.764404296875
1716046606.0334008,78310,93.50444793701172
1716046610.0898175,78493,93.57379150390625
1716046637.2476964,79712,106.23323059082031
1716046641.4157195,79884,110.57215881347656
1716046652.445034,80331,109.0060043334961
1716046656.508669,80496,109.20157623291016
1716046665.2100685,80874,110.47462463378906
1716046673.8253279,81258,106.13693237304688
1716046685.339978,81771,101.80064392089844
1716046687.4764369,81866,101.7698974609375
1716046736.5280304,84043,75.3280029296875
1716046744.5160816,84393,76.69155883789062
1716046804.7059307,87065,107.46141815185547
1716046830.9679508,88224,103.07410430908203
1716046878.3126628,90201,111.46221160888672
1716046882.074989,90352,111.52030181884766
