Wall time,Step,Value
1716021575.6710815,972,-9.281065940856934
1716021629.9058306,3121,-2.0049374103546143
1716021637.3015046,3420,-1.1501438617706299
1716021665.3685005,4657,1.0842009782791138
1716021705.1591878,6266,29.898271560668945
1716021712.4469292,6566,35.82781982421875
1716021756.2220597,8511,74.87237548828125
1716021875.6049008,13907,93.46508026123047
1716021880.592023,14127,99.11231994628906
1716021897.5941098,14890,99.66001892089844
1716022016.0539482,20141,81.42449188232422
1716022025.8562381,20590,81.50186920166016
1716022070.0293343,22577,67.28975677490234
1716022082.1475878,23090,64.53680419921875
1716022095.6258252,23659,65.87173461914062
1716022108.35915,24219,71.7088851928711
1716022178.5288577,27302,91.36312866210938
1716022182.5244048,27475,91.318359375
1716022197.4501233,28134,98.78727722167969
1716022254.3109112,30649,90.96656036376953
1716022295.5369678,32346,96.66676330566406
1716022405.039949,37024,107.50692749023438
1716022406.5198946,37089,108.92406463623047
1716022441.5555928,38651,120.77462768554688
1716022446.4999862,38868,120.35590362548828
1716022471.632218,39959,123.76212310791016
1716022476.1837113,40142,122.54043579101562
1716022477.7716138,40210,124.14371490478516
1716022495.3360794,40952,126.89547729492188
1716022589.1726036,45076,140.56640625
1716022626.2605567,46723,141.55467224121094
1716022649.662689,47782,143.12667846679688
1716022657.8425589,48145,143.4078369140625
1716022658.9380174,48194,144.9117431640625
1716022704.529667,50098,147.87271118164062
1716022726.1545663,50998,144.18348693847656
1716022737.8433902,51473,143.93841552734375
1716022740.8920643,51594,143.90179443359375
1716022745.268296,51767,142.77474975585938
1716022747.7022521,51860,144.3249053955078
1716022764.9088154,52542,145.4140625
1716022777.8178747,53061,146.69078063964844
1716022841.4705808,55584,145.69398498535156
1716022853.2771816,56053,147.30032348632812
1716022865.4175847,56535,148.40255737304688
1716022894.3937662,57819,146.54800415039062
1716022900.4311686,58094,143.8244171142578
1716022912.9007273,58660,140.171875
1716022917.1450584,58847,140.9791717529297
1716022920.0441103,58978,140.4707794189453
1716022936.6667233,59731,144.93167114257812
1716022938.7053134,59822,146.76422119140625
1716022944.0825615,60059,147.5637969970703
1716022946.215403,60156,150.48934936523438
1716022957.7096865,60669,148.23670959472656
1716022966.263345,61055,143.52650451660156
1716022967.7548003,61123,143.43698120117188
1716023000.7286348,62582,146.98004150390625
1716023087.7135549,66437,147.45089721679688
1716023089.4868238,66514,147.66981506347656
1716023127.4109428,68183,150.85675048828125
1716023130.7650743,68326,150.4518585205078
1716023150.6295807,69204,151.037841796875
1716023161.6614022,69692,149.8160858154297
1716023162.7731652,69742,149.7957763671875
1716023169.2447965,70026,147.40138244628906
1716023170.373083,70075,147.06968688964844
1716023177.0920038,70377,146.56417846679688
1716023199.052782,71358,141.36215209960938
1716023201.8590145,71487,145.47911071777344
1716023212.05901,71938,147.52589416503906
1716023268.24645,74426,149.6208953857422
1716023272.0585728,74593,148.70089721679688
1716023279.438351,74916,145.1966094970703
1716023286.4452,75209,145.62899780273438
1716023291.8874385,75426,143.68397521972656
1716023303.743261,75931,139.83944702148438
1716023311.170885,76267,143.58248901367188
1716023316.890576,76526,143.45570373535156
1716023383.012603,79324,148.95057678222656
1716023388.4684248,79549,149.02537536621094
1716023389.3883016,79586,149.0804443359375
1716023413.2740061,80557,147.1702423095703
1716023428.0928588,81144,148.03562927246094
1716023445.5632634,81862,143.30580139160156
1716023487.2645516,83717,141.92762756347656
1716023512.3677151,84730,146.05528259277344
1716023535.6269174,85661,144.765869140625
1716023542.2096338,85925,147.01771545410156
1716023551.4944983,86299,148.8643035888672
1716023578.4690783,87386,153.65879821777344
1716023582.4099586,87539,153.8293914794922
1716023594.2007368,88009,153.62472534179688
1716023597.8116322,88156,153.2791290283203
1716023601.754951,88308,152.5565185546875
1716023602.724192,88347,152.62445068359375
1716023662.52521,90741,150.88551330566406
1716023669.8645928,91038,151.18096923828125
1716023670.9876132,91082,151.25228881835938
1716023697.1978688,92132,151.4832000732422
1716023712.578609,92788,152.7575225830078
1716023723.6602335,93270,153.64491271972656
1716023754.4612741,94628,153.8616485595703
1716023766.1247535,95138,150.27487182617188
1716023773.7954948,95477,149.01043701171875
1716023780.1141987,95766,148.82228088378906
1716023810.8175225,97137,154.5621337890625
1716023815.2841763,97336,153.7813262939453
1716023842.5722044,98510,152.7787628173828
1716023860.4792202,99248,153.45217895507812
1716023861.6228063,99295,153.31491088867188
1716023878.0543842,99984,153.9972381591797
1716023881.849073,100154,153.692626953125
